,First Term,Second Term
37457,ENVIRONMENTS,MANDATED
37458,GRAINS,WOOLEN
37459,PREVENTION,RULES
37460,emblems,lubricant
37461,GUA,PET
37462,Kaufman,WI
37463,Implanted,defibrillators
37464,//www.dtic.mil/whs/directives/,Morgantown
37465,IJO,cholerae
37466,Systerns,Techn~cian
37467,Northop,Stratoliner
37468,ELECTRICAL,PESTS
37469,DUST,RECOIL
37470,IL,River
37471,MAILROOMS,MALIGNANCIES
37472,Guan,Suitland
37473,Skyhawk,Terrier
37474,LAWS,RAIL
37475,clay,nucleic
37476,Tonga,bromomethane
37477,INTERPRETATIONS,Sir/Madam
37478,EXEMPT,TOTAL
37479,COUNTERFEIT,SPILLS
37480,FORCES,LIBERTY
37481,SLAVE,SUFFICIENT
37482,Gy,RATION
37483,MWIR,Trunnion
37484,GUARDIAN,REGISTERED
37485,Steps/Algorithm,WUU
37486,Ibanag,WLS
37487,Hexachloroethane,phthalate
37488,CHECKLISTS,CLOSE
37489,Benin,Cream
37490,jane.law,randolph.af.mil
37491,CASE,SOURCE
37492,DECORATIONS,DEPLOYMENT
37493,Correa-Villasenor,Santa
37494,CLOTH,PRESERVERS
37495,SKILLS,VACANCY
37496,CHILDREN,JUSTIFICATION
37497,M.,Michael
37498,BELT,ventricular
37499,INFLUENZA,LIGHT
37500,MANUFACTURING,SELF-EVALUATION
37501,Counters,Resisted
37502,Fargo,Twine
37503,Antonio-Ft.,phthalate
37504,FIBER,INADVERTENT
37505,fkparrwenl,lnstrucli~n
37506,AIEP,Rwanda
37507,ASSET,INTERNAL
37508,bj,bu
37509,quarries,skill/specialty
37510,maladjusted,propylene
37511,Chairman/Chairwoman,Name/Position
37512,APPLICANTS,REVOCATION
37513,Midshipman,PUW
37514,FILTERS,SEALS
37515,March,October
37516,Lackland,WA
37517,HOSPITAL,RECOGNIZED
37518,Components*,supporters
37519,CONDUCTING,LEGACY
37520,NOS,Polaris
37521,Dried,Subject/Suicide
37522,DEPLOYMENT,YOUTH
37523,ARMING,CARRIER
37524,PAST,UPON
37525,FUNDED,HEXAVALENT
37526,foundations,littoral
37527,CALCULATION,GROUNDING
37528,Lackland,Parkway
37529,MERITORIOUS,URGENT
37530,CLOSURE,MONETARY
37531,PROVISION,SECURE
37532,LAT,Nicole
37533,DISTRIBUTE,IMPORT
37534,OFS,SFS
37535,DISCIPLINARY,THREATS
37536,Mycology,regret
37537,non-rebuildable,wso.whs.mil
37538,Bakweri,KATRINA
37539,ENRICH,WASTEWATER
37540,NOSSA,Person-
37541,MASKS,ROADS
37542,ASSORTMENT,SIGNIFICANT
37543,ACRONYM,HOSTILE
37544,peptizers,shaving
37545,Willful,Wrongful
37546,printers,scanners
37547,Kelly,MacDill
37548,NECESSARY,OTHERS
37549,IN-TRANSIT,MERITORIOUS
37550,Name/Grade/Rank,_____________________________________________Date____________
37551,INDIRECT,REVIEWING
37552,Acenaphthene,Postmark
37553,CERTIFYING,OPINION
37554,DISEASES,SELECTIVE
37555,Aniline,imperfecta
37556,CHANGING,HARD-TO-FILL
37557,Cupric,chlorocrotyl
37558,Host-Tenant,Remington
37559,JUSTIFICATION,SUSPENDING
37560,MAJOR,PROVIDERS
37561,Arkansas,Pam
37562,Sabreliner,Skytrain
37563,HMM,HSADMI/DEFALT
37564,IIc,SSBN
37565,NEL,YAN
37566,Greece,WI
37567,Retirement-Disability,TSI
37568,Deliberations,Incineration
37569,EXPLOSIVES,GLOBAL
37570,MAXIMUM,POLICE
37571,DIGITAL,RADIATION
37572,CLAIMED,RESULTING
37573,DRINK,TIMEFRAMES
37574,POWER,RADIATION
37575,CAREER,COMPLAINTS
37576,Beale,Johnson
37577,TADs,TDYs
37578,cruciate,regurgitation
37579,Electron~c/t,hlalntenanci
37580,Prostitution,cannabinoids
37581,Bankruptcy,Indentation
37582,ate,l~s
37583,ACCEPTABLE,PREPARATION
37584,.Avenue,Connecticut
37585,MANUFACTURE,REPORT/TURN
37586,DISPATCH,FLUORESCENT
37587,Childs,Farmmg
37588,BIOSAFETY,TESTS
37589,INCLUDED,WHITE
37590,Sasebo,Yokosuka
37591,AVE,UNDETERMINED
37592,Chatillon,INE
37593,CYBERSECURITY,SCREENING
37594,RESALE,VESSELS
37595,Fort,Suite
37596,Imposing,RESTORING
37597,/ResponseDescriptionText,Kurukh
37598,ACTED,LEWD
37599,Ave.,cottage
37600,Falkland,Islas
37601,BOMBS,CROSS
37602,air-launched,conditioners
37603,Carbon,Ethyl
37604,Avenger,Aztec
37605,ISSE,bluebird
37606,PERSONS,PRIVACY
37607,CHARACTERISTIC,SOURCE
37608,FUNCTIONAL,UNAUTHORIZED
37609,DELEGATION,WITNESSES
37610,cables,ducts
37611,SAPCA,T-SAPF
37612,ENGINE,SATELLITE
37613,BESIEGED,Crane
37614,QRTLY,Tatar
37615,cid=aero,ref=
37616,Name/Position,______________________________________________Date____________
37617,PRIMARY,RETIRED
37618,MANUFACTURE,MARIJUANA
37619,Zinc,Zirconium
37620,Cosmetics,etlnF
37621,Francotyp-Postalia,INC
37622,AND/OR,CASES
37623,Apr,Nov
37624,EXAMINERS,NEGOTIATE
37625,Bristol,GERMAN
37626,Abdominal,EGWG
37627,LABORATORY,TIMELINE
37628,LIEU,VICTIMS
37629,GUIDANCE,GUIDELINES
37630,HH.f,Polymorphic
37631,AAW,AAY
37632,FULL,REQUIREMENT
37633,Ethyl,Methylene
37634,DEPLOYMENTS,MANAGING
37635,Caribou,Sabreliner
37636,snapping,uncoiled
37637,AK=Anti-Female,D.H.
37638,DEFECTIVE,IN-CHECK
37639,TUNNELS,Vertical/Short
37640,MITIGATING,SUPPORTED
37641,FURTHER,MISS
37642,CHARGE,NEGLIGENCE
37643,DETERMINING,PRIVATE
37644,Li,Y.
37645,POSTANALYTIC,PREANALYTIC
37646,IRREGULARITIES,LEARNING
37647,hydrazides,rear-view
37648,CONSTRUCTION,POLICIES
37649,Comrnunicat~oiisi'Na~~~gat~on,Malntenance
37650,Cabins,Trailers
37651,Davis,Gen
37652,DATED,UTILITY
37653,HBK,wettable
37654,SHEPHERD,extravagant
37655,MAINTAIN,NON-TITLED
37656,ADVANCE,STATUS
37657,DARPA/DoD,lmagmg
37658,corrodes,saltwater
37659,Mazanderani,cements
37660,ENGINE,IMMEDIATELY
37661,Confirming,Persistent
37662,NOTIFICATION,RESOLUTION
37663,Commonwealth,Puerto
37664,CRITICAL,PRODUCT
37665,ASSETS,PRODUCTS
37666,DECISION,DUTY
37667,Octave,Trafficking/Commercial
37668,Hydromorphone,Pound
37669,DISESTABLISHMENT,SEGREGATION
37670,AIRCRAFT,MATERIALS
37671,CONFIRMATORY,SPOUSAL
37672,CONTAMINANT,REF
37673,Azerbaijani,FQ
37674,Bahrain,Lakehurst
37675,REFRIGERANT,epoxide
37676,Removal-Instructed,UJ
37677,CERTIFICATE,COMMITTEES
37678,Qatar,Romania
37679,neoplasia,vulvar
37680,EDUCATION,RESOURCES
37681,Electrical/electronics,pedagogy
37682,KEYHOLE,S//TK-G//NF
37683,NEED,QUALIFICATION
37684,CANDIDATE,RECOGNIZED
37685,INDIVIDUAL,MATERIAL
37686,FIXED,HELICOPTER
37687,Hawkeye,Raytheon/Hughes
37688,anti-U.S.,perforation
37689,DENIAL,TREATMENT
37690,Anti-Alaskan,Dutch
37691,STRATEGIC,WEAPONS
37692,Knee,Shut-Down
37693,ENHANCED,MULTI-SERVICE
37694,SUB-SYSTEMS,WASTEWATER
37695,ASSISTANTS,PRINCIPAL
37696,Area/Park,Bowes
37697,EXTRACTABLE,QVZ
37698,MARK,SPACE-REQUIRED
37699,DETERMINING,STATEMENTS
37700,BILLING,MAGAZINES
37701,baffle,popliteal
37702,NONPROFIT,SUBSIDIZED
37703,ge,naphthalene
37704,angioplasty,trees
37705,CMMCA,Dart
37706,NON-HOSTILE,TRIED
37707,BYPRODUCTS,DISINFECTANT/DISINFECTION
37708,FACTOR,RELEVANT
37709,esophagitis,stepbrother
37710,bp,bv
37711,hematoma,subarachnoid
37712,CLEANING,GAS
37713,ACT,CONTACT
37714,COMPETENCIES,DISCRIMINATION
37715,INCLUDING,LESSER
37716,INDEBTED,REQUISITION
37717,Roaland,Twin
37718,AO-approved,life-cycles
37719,Skyhawk,Skywarrior
37720,INVESTMENT,LAYOUT
37721,ASSIGNMENT,DOCUMENTATION
37722,Cambodian,over-the-air-zeroization
37723,Lansing,amphetamines
37724,Cutting,Inter
37725,DECLARATIONS,SANCTIONS
37726,BN,McClellan
37727,Non-postal,fender
37728,EK,Plumber
37729,hoarseness,sinuses
37730,CLOTHING,DETENTION
37731,RESULTING,UNBORN
37732,Jones,Pgm
37733,Melanie.Ault,daniel.duke
37734,DATA-N,High-temperature-resistant
37735,Brian,Joseph
37736,CONTAINING,PESTICIDE
37737,CANDIDATE,PATH
37738,Ferric,Propionic
37739,SHIPMENT,UNITS
37740,Illnesses,mycosis
37741,DRAINS,TARGET
37742,DEFENSIVE,SEARCH
37743,LABORATORIES,SYMBOL
37744,DELIVERY,DESCRIPTION
37745,Kilograms,nonabrasive
37746,INTER-SERVICE,PAYS
37747,Salon/beauty,on-production
37748,earth-ground,fl
37749,EXPECTED,SURVIVORSHIP
37750,CUSTOMER,MATRIX
37751,FOLLOWED,INTERSTATE
37752,Journalism,rodents
37753,LOAD,SYMBOL
37754,Product_,view=text
37755,OPPORTUNITY,UPPER
37756,Acetic,dark
37757,Zinc,horsepower
37758,FILM,MOAS
37759,ab,ao
37760,AUTHORIZING,COMPOSITION
37761,granulation,sponges
37762,biking,cigars
37763,PERMIT,SERVITUDE
37764,MAY,SHEET
37765,J.,Michael
37766,Canceling,Fixed-
37767,cocaine,opioids
37768,ADJUSTMENT,WAGE
37769,FUTURE,SURETY
37770,REVOKE,T=Months
37771,Thigh,iced
37772,Shirts,cabinetmakers
37773,daughter-in-law,organizational-
37774,Aardvark,Hawkeye
37775,Mcdicme,ccupatlonal
37776,//iase.disa.mil/,//www.dtic.mil/ref/BuildingCircular/Bcirclr.htm
37777,Mechanlc,Technlclan
37778,Clu.ssificutionr,Interlocutory
37779,ENHANCED,STEM-based
37780,LEGISLATIVE,PROPELLANTS
37781,DEATH,DOMESTIC
37782,AAC=Face,AAE=Teeth
37783,GEODESIC,STYLE
37784,BUDGETING,PLEURA
37785,Overcoats,Pulap
37786,Util~ty,reduction-in-force
37787,dodecylbenzene,micro-
37788,LOOSING,SEX
37789,CARBON,COMPOSITE
37790,decrement,off-ramp
37791,ENRICH,NON-NEGLIGENT
37792,Shp,nunchakus
37793,ACONTRACT,PENALTY
37794,ENFORCEMENT,LAW
37795,defecation,fender
37796,//frwebgate.access.gpo.gov/cgi-bin/getdoc.cgi,site=aaahc_site
37797,aw,ax
37798,ASSIGNMENT,PERFORMANCE
37799,Baltimore-Washington,lymphatic
37800,Anytown,FORT
37801,NON-U.S.,STRATIFICATION
37802,Geography,keratosis
37803,Hydraulic,Sonar
37804,CONVERSIOU,RELIGIOUS-ENDORSING
37805,CJK,Time-Tagged
37806,BUF,Lompoc-High
37807,Apache,Hawkeye
37808,COMPLETING,CUSTODY
37809,Concentrate,uid=aero
37810,half-brother,onions
37811,LIMITS,RELIGIOUS
37812,Engraved,Hubs
37813,Buckeye,Vertical-launch
37814,OPERATION,TECHNOLOGIES
37815,amphetamine/,methylenedioxymethamphetamine
37816,FEDERAL,USING
37817,Authority/Voluntary,Geochemistry
37818,ELEMENT,FUND
37819,HARASSMENT,STATUTORY
37820,DEEPWATER,IRMA
37821,DFDEL,Pentachlorophenol
37822,",l~n~caI",Psycholog~st
37823,mufflers,refurbishment
37824,DEPLOYMENTS,MEDIASTINUM
37825,FUND,WORKING
37826,HOST,SUBSTANTIAL
37827,Sprite,Tracker
37828,CONSIDERATIONS,QUALITY
37829,DISRESPECT,MULTI-HATTED
37830,BRIEFING,RADIATION
37831,Conductors,Metallic
37832,anhydrous,psig
37833,Blackhawk,Jordan
37834,EXPENSE,LIST
37835,Alliant,Outrider
37836,benzo,enance
37837,Incidence,N.J.
37838,guitar,sunscreen
37839,HDI,Wilkins
37840,SEY,Shp
37841,Pretense,phenyl
37842,Alexandria,Norfolk
37843,INVESTMENT,WINDOWS
37844,Rabbi,processing/exploitation
37845,CATEGORIES,INSTRUCTIONS
37846,ARQ,At-sea
37847,Eisenhower,WV
37848,NavYator,modeling/warehousing
37849,QUESTIONS,REPOSITORY
37850,Silicosis,Trouble
37851,KG=Kilogram,OZ=Ounce
37852,Barbara,Kathleen
37853,NON-DoD,TIME
37854,KOSOVO,RETAIN
37855,Mouth,spinach
37856,HAVING,INCOME
37857,ACCOMMODATION,IRREGULARITY
37858,Drasser,Knox
37859,Oklahoma,WV
37860,APPLICANTS,COMMUTATION
37861,demilitarizing,silica
37862,POCKET,PURSE
37863,Grief,NESA
37864,McDonald,Namibia
37865,Sierra,Strait
37866,LOADING,SUMPS
37867,Center-Aircraft,Patuxent
37868,RECIEPT,SELF-DIRECTED
37869,Probation,tlonaLMcdicine
37870,ANIMALS,PROCUREMENT
37871,Kaiserslautern,profane
37872,COTTON,SKYLIGHTS
37873,Iroquois,Patriot
37874,FIBER,PENALTY
37875,DISASTER,REASONABLE
37876,DATA-N,Interpreting
37877,Elevator,Foot
37878,ethylene,naphthalene
37879,Breechblocks,Geoint
37880,DECLARATIONS,PROBE
37881,Hydromorphone,Nordiazepam
37882,Rails,WOE
37883,SODOMY,WILLFUL
37884,PRIORITIES,SCREENING
37885,Dragon,HBK
37886,CAPABILITIES,STRUCTURE
37887,AMENDMENTS,SECURE
37888,NEWBORNS,THROUGH-LIFE
37889,Spoil,reentrant
37890,Malay,OW
37891,Laceration,waistband
37892,Terbium,tendonitis
37893,Irs,hdmm~strative
37894,Stnrisrrcs,WLS
37895,ponds,sail
37896,Off-duty,Parasitology
37897,Conlrolrnan,Inter~or
37898,Congo,Cote
37899,AFG,EFFORT
37900,INTER-SERVICE,SINUSES
37901,Medium-Speed,Roll-On/Roll-Off
37902,ENTRANTS,NEGOTIATE
37903,High-cantilever,Salvation
37904,COST,FITNESS
37905,CONSEQUENCES,IDENTITIES
37906,COMPUTER,CORRECTIONS
37907,OPINION,PENDING
37908,Eng~neer,Fightcr
37909,Uganda,blowers
37910,BALLOTING,YOUR
37911,EFFECTING,UNSATISFACTORY
37912,Knee,Line-of-Duty
37913,AD=Parent,AE=Parent-in-Law
37914,SACROILIAC,STORES
37915,/SecurityId,QAM
37916,Loudoun,William
37917,LAUNDRY,UPHOLSTERED
37918,CLEARANCE,REVIEW
37919,ITEM,OWNED
37920,animation,mountain
37921,Nunavut,Yukon
37922,MN,judicially
37923,Latvia,Portuguese
37924,Aerodynamically,Cobra/TOW
37925,POSSESS,WRONGFUL
37926,Boiler,Stern
37927,ethyl,salts
37928,Incidentally,Microfiche
37929,Archdeacon,Bishop
37930,Computational,Computations
37931,Extensively,Starlifter
37932,Navigator,~-
37933,AFOS,cq
37934,Electromechanical,Pre-enactment
37935,CREDITS,REQUISITION
37936,DETERMINATINOS,SOLVENT
37937,Acids,Fatty
37938,CAPACITY,TRANSACTIONS
37939,Kru,Mucus
37940,CANISTERS,thickened
37941,Es,Spccralist
37942,DivA,r~cm
37943,APPOINTMENT,REFERRAL
37944,Azerbaijani,Iron
37945,Mechanlc,Pam
37946,JURISDICTION,PRESERVATION
37947,MUTILATION,PHOTOGRAPHIC
37948,CONTACT,DISCHARGE
37949,Tramng,juices
37950,MILL_SBP-LOD,cocopns
37951,FUTURE,PRIOR
37952,ALCOHOL,DONATED
37953,Bishop,Mr./Mrs
37954,dichloride,glycol
37955,DEPLOYED,LOST
37956,SPECIFIED,WORKS
37957,AFFIDAVIT,SELF-PROVING
37958,In-Flight,Nyanja
37959,autoimmune,corticosteroids
37960,DECISIONAL,DETAINED
37961,SELF,WILLFUL
37962,ACCEPTABLE,PRINCIPLES
37963,Tcsr,hdmm~strative
37964,HEALTHCARE,THEIR
37965,NON,TARGET
37966,Boiler,Machinery
37967,Grains,Married
37968,Belgium,WI
37969,Fraudulent,cavitated
37970,Mycology,loaders
37971,Lynne,Takai
37972,SAPTSWA,SAPWA
37973,AND_DESCRIPTION,OFFENSE_TYPE
37974,Ragen,rel
37975,Elizabeth,Zachary
37976,ANALYTE,SFS
37977,-~,Cryphgraphic
37978,SEALS,SHIPS
37979,Javascript,QSE
37980,Apartment,Sistema
37981,Removal-Performance,Resign-Due
37982,Arsenal,Eastern
37983,HUMIDIFICATION,MALIGNANCIES
37984,Microfiche,above-
37985,Fld,Lajes
37986,LARYNX,SEWERS
37987,IL,TN
37988,//www.fws.gov/endangered/,Twine
37989,ACTIONS,INVESTIGATIONS
37990,DANGEROUS,FAILURE
37991,LOSSES,MOBILE
37992,/MCO,Halotron
37993,AIRCRAFT,AMOUNT
37994,Evans,IL
37995,Techr~ical,dt
37996,Azerbaijan,phosphorothioate
37997,Huron,Stinger
37998,CONVERTED,ENGINE
37999,ERROR,QUARTERLY
38000,partitioning,woodworking
38001,PARTNERSHIPS,PROFESSIONALS
38002,DEMILITARIZING,SKIN
38003,Heat,arthritis
38004,QUESTIONS,SPACE-REQUIRED
38005,ENGINEERING,THRESHOLD
38006,carpets,scalp
38007,IMPACT,TAX
38008,GROUPS,LICENSES
38009,REGRESSION,RETAIN
38010,Jacksonville,Pearl
38011,Aesthetics,Bin
38012,GOERS,nitrators
38013,..Box,Fluorideb
38014,PUBLIC,VETERANS
38015,John,Kingman
38016,ECONOMY,SOFTWARE
38017,Oriya,Trichlorodifluoroethane
38018,NEGLIGENCE,SUBMITTED
38019,chiropractors,naturopaths
38020,Stars,Stripes
38021,HARASSMENT,UPON
38022,MEDICALLY,PESTS
38023,ALM,Allenwood-Med
38024,Pave,Polaris
38025,Hawkeye,Pup
38026,Amraft,Navigator
38027,FACTOR,REASONABLE
38028,BRING,GIVING
38029,H.,R.
38030,Mildenhall,_I
38031,Hungary,JA
38032,LADY,RELOCATION
38033,Charles,Slovenia
38034,BARK,Bacillus
38035,MANDATED,PESTS
38036,constipation,pathogenic
38037,Hydrant,Wrapping
38038,AppID,MRG
38039,Dark,Pictograms
38040,MAPS,OPERATORS
38041,INVESTIGATIONS,WAIVERS
38042,Brazis,ester
38043,Non-collaboration,Seating
38044,Kaiserslautern,sadistic
38045,LOF,extruding
38046,Cornea,Farmmg
38047,Endrin,LCE
38048,//apps.sp.pentagon.mil/sites/dodiic/Pages/default.aspx,//www.esd.whs.mil/Directives/collections_int/
38049,Paul,Picatinny
38050,aircard,seacard
38051,Analy~t,OPIKTLL
38052,COMMISSARY,TESTING
38053,CONSOLIDATED,Sheridan
38054,APHs,LY
38055,WLS,agronomy
38056,..Gallon,Hagel
38057,Fiber,trout
38058,BUM,Carpenters
38059,COMMUNICATE,INTERSTATE
38060,cdlary,qy=
38061,DJ,YI
38062,CURRENCY,VENTING
38063,EXPOSURE,UNLAWFUL
38064,Censuring,admonishing
38065,styphanate,tetrazene
38066,COMBINATION,STREET
38067,Brochures,Workstations
38068,ADJUSTED,ON
38069,Metallurgical,doppler
38070,COMPATIBLE,TITLED
38071,Anonymous,Disclaimers
38072,Scott,Suite
38073,MADE,SUBMITTING
38074,RESPECT,SECRET//SPECIAL
38075,Lake,SHPOs
38076,Akron,Armstrong
38077,EXPERT,EXPOSURE
38078,NORTH,PASSWORDS
38079,guitar,viola
38080,controlled-access,cyber-hardened
38081,B-Scale,Topeka
38082,RECOVERY,RECYCLING
38083,Octoher,Ojj'icer
38084,Friable,Irradiation
38085,DISSEMINATION,MAINTAINING
38086,CHILDREN,HAZARDS
38087,Adjustable,Lindane
38088,DESIGNATORS,NATURAL
38089,CMMCA,Stratotanker
38090,BORROWING,SERIOUS
38091,CML,MISAPPROPRIATE
38092,adnexal,defiant
38093,PAPER,PREVENTION
38094,Furan,collars
38095,ASSETS,FINDINGS
38096,Neuropsychnlogist,Subspec~alty
38097,circulatory,hemic
38098,CORRESPONDENTS,DISTRIBUTION/POSSESSION
38099,NON-QRP,ORGANS
38100,Launched,solid-fuel
38101,Airfield,Boat
38102,BUDGETING,EXAMINERS
38103,BALLAST,CUSTOMER
38104,CHAPLAINS,DIMINISHING
38105,comm,wing-tip
38106,DEFECTIVE,INTERACTION
38107,Manufacture,Murder
38108,Antonio,Road
38109,DISAPPROVING,VARIOUS
38110,CONVERSIOU,VESSEL
38111,COLLECTING,STATUTORY
38112,Bull,Firebee
38113,Coyote,Tomahawk
38114,EQ,Maxwell
38115,kg/hr,lb/day
38116,Hq,MZ
38117,COMMITMENTS,TRAIT
38118,AIRLIFT,CULTURE
38119,H.,P.
38120,Dependence,Pre-veterinary
38121,Attractions,Tourist
38122,AIRLIFT,UPGRADE
38123,N.J.,Weiss
38124,DETAILED,INITIAL
38125,//hawaii.gov/dlnr/hpd/hpgreeting.htm,//www.acq.osd.mil/ie/
38126,RECIPROCATING,STATIONARY
38127,EXTERNAL,RELIGIOUS
38128,FACILITATE,MUTILATION
38129,Resign-Position,Ret-Spec
38130,ABOARD,CONVENTIONAL
38131,Juan,Mac
38132,Zuni,cryogenic
38133,Mtons/day,lb/MMBtu
38134,Burner,Outfits
38135,DISCHARGE,ENTRY
38136,land-clearing,silvicultural
38137,Ops,Refrigerants
38138,Henoch-Schonlein,Multiracial
38139,genitourinary,metagenomic
38140,AAV,Buttocks
38141,FATS,SERVICE-SPECIFIC
38142,Killings,Wood-Destroying
38143,Kingdom,Nations
38144,Afars,Djibouti
38145,FILTERS,TITLED
38146,Shelving,motel
38147,INFORMANTS,MOTORS
38148,Poaching,ent
38149,INTERROGATION,PORTIONS
38150,Construct~on,Ear
38151,Commendable,Unfiltered
38152,JAPAN,SECURE
38153,playwrights,screenwriters
38154,Tralnee,WSO
38155,ACTY,KY
38156,Incineration,Inhibited
38157,Emulsifiable,uid=aero
38158,INDUSTRY,RIGHTS
38159,Chrlpam,SEWICM
38160,SECRET//SAR-SWAGGER,aspartate
38161,LTV,Lindane
38162,PRE-ENACTMENT,UNLAWFUL
38163,Peacekeeper,Stratotanker
38164,Catholic,WV
38165,INJURY,SPECIALTY
38166,Bankruptcy,Hypertensive
38167,Compliant,Isocyanates
38168,l~,ons
38169,FREEDOMs,HURRICANE
38170,Gas-fired,Irritation/sensitization
38171,Bldg,NJ
38172,HANDLING,RETURN
38173,CONSTRUCTION,THRESHOLD
38174,cam-lock,quick-disconnect
38175,Indiana,Irving
38176,POSTAL,UNIFORMED
38177,BEJ,Skylights
38178,KIN,NON-RENEWAL
38179,Tokelauan,isotopic
38180,Canceling,Postmarking
38181,stepbrother,swollen
38182,Gas-fired,Glider
38183,HEARING,RECORDS
38184,ENTITIES,OFFICERS
38185,AUSTRALIA,FUNGICIDE
38186,Ave.,WI
38187,Firebee,Maverick
38188,SKYLIGHTS,WOOLEN
38189,EXTENSION,INFORMAL
38190,amusement,ceramics
38191,carboxylic,phenol/acetone
38192,input-output,recoilless
38193,Kyrgyzstan,backpacking
38194,cruciate,hepatic
38195,Madison,Stitcher
38196,hair,rappelling
38197,LUG,suboptimal
38198,EDUCATORS,INDEXES
38199,CONCENTRATIONS,EANING
38200,Adjustable,Triner
38201,COMPOSITE,PHOTOGRAPH
38202,Von,albinism
38203,Draper,Regulus
38204,ALLOCATION,PROCESSES
38205,COMPUTATIONS,HOLDER
38206,Euros,SWIR
38207,REGISTRATION,TERMS
38208,free-of-charge,herring
38209,Calvert,Georgia
38210,Delaware,Soldier
38211,POINT,RELEASE
38212,arsenic,stroke
38213,Impregnated,la
38214,FORMER,STATEMENTS
38215,BENEFIT,COMMUNITY
38216,BRY,Lewisburg
38217,DODOCC,Mixers
38218,HEALTHCARE,RECONCILIATION
38219,AIRLIFT,PANDEMIC
38220,TIG,Tourist
38221,AND/OR,THAT
38222,RULES,ZONES
38223,FIGHTER,FIVE
38224,AHRC-PDD-FPZ,MNI
38225,Moody,Statisticlan
38226,Hollow,KY
38227,BUDGET,COOPERATIVE
38228,Ecology,systematics
38229,Orthoptics/orthopist,Tcchn~cian
38230,Judaism,QF
38231,PodD,dysgenesis
38232,Betting,Freon
38233,Misfires,Waveforms
38234,Mutiny,w/Intent
38235,Blackhawk,Operation-Zone
38236,cellar,pyridine
38237,mycosis,organist
38238,shoulder,shrubbery
38239,CHARTERS,NEWSPAPERS
38240,AUTHORTIES,MEDIASTINUM
38241,ESPIONAGE,PARAPHERNALIA
38242,ab,ae
38243,Greece,Kentucky
38244,Bahrain,Somalia
38245,INTEREST,UNIDENTIFIED
38246,DEFECTIVE,DIMINISHING
38247,COMMISSIONED,LAW
38248,asphalt,reels
38249,betting,raffle
38250,des.vbapro,dodcontrolpoint
38251,COTTON,SCOPS
38252,REQUIRES,SUCCESSFUL
38253,French,Morocco
38254,NV,Runway
38255,ARQ,Practltloners
38256,BRANCHES,UINTEGRATION
38257,APPROVAL,PROCESSING
38258,ANNUAL,LEADERSHIP
38259,ASSORTMENT,UNFUNDED
38260,Hellfire,antitank
38261,Person-Examination-,Suffix
38262,Anesthesiology,NAH
38263,CENTCOM,LANTCOM
38264,DOCUMENTING,LIMITATIONS
38265,DETERMINING,IMPROVISED
38266,Dichlorohexafluoropropane,Guarani
38267,Virology,mortised
38268,dump,topographic
38269,INFLUENZA,PANDEMIC
38270,Misbehave,______________________________________________Date____________
38271,African,Black
38272,DRY,MANUFACTURING
38273,Equipment/Packing,Sacks
38274,POWER,SYMBOL
38275,JE,Singapore
38276,Pentachlorophenol,Two-bedroom
38277,PROCESSES,WITNESSES
38278,Melanie.Ault,casc.af.mil
38279,RESTORED,STATEMENT/FRAUD
38280,stepsister,thigh
38281,darpa.mil,nr
38282,Chinese-Anhnwei,Vietnamese-Saigon
38283,FAIL,UNABLE
38284,BUN,region-wide
38285,gastroectomy,gastrojejunostomy
38286,FONDLING,FRAUDULENT
38287,RETURN,SUSPENSION
38288,CONTINUITY,USES
38289,Quenching,stripper
38290,Quakers,red-fuming
38291,COMPUTER,MAN
38292,AIRCRAFT,SURVEILLANCE
38293,Italian-Neapolitan,ZHA
38294,Seaway,T=Testimony
38295,Brook,RBK
38296,Non-Rechargeable,Tract
38297,refinishers,stirring
38298,-le,~hoto~ra
38299,Furan,Helo
38300,Lackland,UJ
38301,BH=Former,Dissertations
38302,VC,Wyoming
38303,Nonconcurs,REOs
38304,BK,Provisional
38305,HOURS,UTILIZATION
38306,CEILINGS,EXHIBITS
38307,Georgia,Illinois
38308,DETERMINING,REQUIREMENT
38309,DELIVERY,REGIONAL
38310,AX=Unknown,spore
38311,/SOAP-ENV,SOAP-ENV
38312,FEDERALLY,POSTURE
38313,IN-FLIGHT,Mixer
38314,ferrites,whiskers
38315,Command*,S.W
38316,//www.dfas.mil/militarymembers/woundedwarrior/woundedwarriorpay.html,Urdu
38317,COUNTRIES,FACILITY
38318,FK,Nassau
38319,Bee,Hive
38320,AVA,I'llot
38321,Desert,Ticker
38322,GU,Mississippi
38323,navy.mil,nr
38324,CASE,OVERSEAS
38325,Jul,Jun
38326,Diligence,Non-Competition
38327,fibrosis,freshwater
38328,Chairman/Chairwoman,PLANE
38329,HEAT,YOUR
38330,CYBER,LEAD
38331,Bidders,Duluth
38332,Inflicted,PHASES
38333,TEST,WEAPONS
38334,APPLICATION,SELECTION
38335,REGION/SECTOR,naphthalenes
38336,HHMMSS,Toll
38337,Gastroenterology,barber/styling
38338,SIMILAR,SUBSTANCE
38339,IMPLIED,UOD
38340,MARK,RADIATION
38341,Boilerb,Incineratora
38342,Eyewash,Furniture
38343,NONREIMBURSABLE,REVERIFICATION
38344,Dir,Dir.
38345,Nesting,Redeemed
38346,ACTIVE-DUTY,HISTORICAL
38347,amphetamines,tattoos
38348,Bahai,Calculations
38349,Landing,mulching
38350,DOCUMENTS,PERSONAL
