,hyponym,hypernym,proposed_label
9721,receipt,the efficient and effective fuel capability,2.0
9723,issue,the efficient and effective fuel capability,0.0
9724,distribution,the efficient and effective fuel capability,2.0
9725,quality surveillance,the efficient and effective fuel capability,0.0
9726,the offshore petroleum discharge system,two or ccmd,0.0
9728,quantity,c capture specific fuel delivery information,0.0
9729,potential for host nation support,the distribution plan,0.0
9730,dla energy international fuel agreement,the distribution plan,0.0
9731,pende receipt,the distribution plan,0.0
9732,long range projection,support datum,2.0
9734,feasibility of stock redistribution,support datum,2.0
9735,all pertinent datum,the decision package,0.0
9736,telephone number,information of billing organization,0.0
9737,fax number,information of billing organization,0.0
9738,e mail address,information of billing organization,0.0
9739,fuel ticket,support documentation,2.0
9740,receipt,support documentation,2.0
9741,the ro,all applicable member,0.0
9742,dfsp transaction processing oversight,all require dla energy regional office responsibility,0.0
9743,dfsp transaction processing oversight,all require regional responsibility,0.0
9744,the ros,all relevant participant,0.0
9745,requirement for any military tactical fuel distribution capability,a fuel support conops,0.0
9746,procedure,detail in the exercise planning document,0.0
9747,responsibility,detail in the exercise planning document,0.0
9748,financial liability,detail in the exercise planning document,0.0
9749,fuel type,electronic transaction datum capture of specific fuel delivery information,0.0
9750,property administration,contract administration function,2.0
9751,contracting officer,contract administration function,2.0
9752,assistance with facility support,operational problem,2.0
9753,quality representative,functional element,2.0
9754,qrs,functional element,2.0
9755,inspector general of the department of defense,the regularly schedule service site visit,0.0
9756,environmental baseline survey,3 reviews environmental documentation,0.0
9757,organization code,sub account data element,0.0
9758,account processing code,sub account data element,1.0
9759,type equipment code,sub account data element,0.0
9760,job order number,sub account data element,0.0
9761,fund code,sub account data element,1.0
9762,a common access card for each individual user,current dod login credential,1.0
9763,all volume,exception to this manual,0.0
9764,the dollar amount of any cost saving,the scp,0.0
9765,dd form,copy of relevant document,0.0
9766,demolition,financial responsibility for any work,0.0
9767,the item description,a hardware list,0.0
9768,serial number,a hardware list,0.0
9769,property administration,contract administration function,2.0
9771,war reserve,management of petroleum product,2.0
9772,peacetime operate stock,management of petroleum product,0.0
9773,distribution of product,management of petroleum product,0.0
9774,quality,management of petroleum product,2.0
9775,petroleum bag,temporary container,2.0
9776,bladder,temporary container,2.0
9777,property administration,contract administration function,2.0
9778,contracting officer,contract administration function,2.0
9779,assistance with facility support,operational problem,2.0
9780,interface with transportation entity,operational problem,2.0
9781,quality representative,functional element,2.0
9782,qrs,functional element,2.0
9783,inspector general of the department of defense,the regularly schedule service site visit,0.0
9784,inspection,the regularly schedule service site visit,0.0
9785,management assistance visit,the regularly schedule service site visit,2.0
9786,environmental baseline survey,reviews environmental documentation,0.0
9787,environmental condition of property report,reviews environmental documentation,0.0
9788,national environmental policy act,reviews environmental documentation,2.0
9789,organization code,sub account data element,0.0
9790,account processing code,sub account data element,1.0
9791,type equipment code,sub account data element,0.0
9792,job order number,sub account data element,0.0
9793,fund code,sub account data element,1.0
9794,a common access card for each individual user,current dod login credential,1.0
9795,daily inventory processing,the physical operation of the dfsp,0.0
9796,account reconciliation from the dfsp to the dla energy system of record,the physical operation of the dfsp,0.0
9797,transportation discrepancy,the physical operation of the dfsp,0.0
9798,all volume,exception to this manual,0.0
9799,the dollar amount of any cost saving,the scp,0.0
9800,dd form,copy of relevant document,0.0
9801,demolition,financial responsibility for any work,0.0
9802,the item description,a hardware list,0.0
9803,serial number of the equipment,a hardware list,0.0
9804,property administration,contract administration function,2.0
9805,quality surveillance,contract administration function,0.0
9806,management of petroleum product,responsibility,0.0
9807,war reserve,management of petroleum product,2.0
9808,peacetime operate stock,management of petroleum product,0.0
9809,distribution of product,management of petroleum product,0.0
9810,quality control,management of petroleum product,0.0
9811,facility management,management of petroleum product,2.0
9812,the development of contingency plan,management of petroleum product,0.0
9813,inspection,good work condition,0.0
9814,regularly schedule maintenance,good work condition,0.0
9815,petroleum bag,temporary container,2.0
9816,bladder,temporary container,2.0
9817,facility,energy commodity infrastructure,0.0
9818,equipment,energy commodity infrastructure,0.0
9819,spill response,training on environmental compliance with locally establish regulation,0.0
9820,permit,recur environmental cost,0.0
9821,sampling,recur environmental cost,0.0
9822,tightness,recur environmental cost,0.0
9823,associate staffing,energy commodity,2.0
9824,spill response,regulation,0.0
9825,development,funding assistance for environmental compliance requirement,0.0
9826,revision of environmental plan,funding assistance for environmental compliance requirement,0.0
9827,sampling,a request to dla for funding for recur environmental cost of permit,0.0
9828,tightness,a request to dla for funding for recur environmental cost of permit,0.0
9829,leak detection testing,a request to dla for funding for recur environmental cost of permit,0.0
9830,petroleum waste removal disposal of site with dwcf product,a request to dla for funding for recur environmental cost of permit,0.0
9831,a member,the iprb,0.0
9832,a site characterization survey,specific document,0.0
9833,an itemized cost breakdown,the spill response,0.0
9834,the fuelmaster 2550 fuel management system,product with afss automated tool,2.0
9835,supervisory control,afhe operation control center equipment,2.0
9836,bury pipeline,common application,0.0
9837,underground fuel storage tank,common application,0.0
9838,water storage tank,application,0.0
9839,tank,distribution of dwcf energy commodity,0.0
9840,pipeline,distribution of dwcf energy commodity,0.0
9841,pressure vessel,distribution of dwcf energy commodity,0.0
9842,cathodic protection system,distribution of dwcf energy commodity,0.0
9843,rail facility,distribution of dwcf energy commodity,0.0
9844,marine loading arm,distribution of dwcf energy commodity,0.0
9845,underwater hose,distribution of dwcf energy commodity,0.0
9846,pier,distribution of dwcf energy commodity,0.0
9847,facility,infrastructure,0.0
9848,u,quality,2.0
9849,operation in the continental united states,an expeditionary globally deploy force,2.0
9850,cost,requirement at the good value to the dod,0.0
9851,petroleum,bulk by dla,2.0
9852,contractor,dod or federal agency customer,0.0
9853,humanitarian organization,dod or federal agency customer,0.0
9854,foreign government,dod or federal agency customer,2.0
9855,the reserve components,the dod components,2.0
9856,u,the dod components,0.0
9857,the u,non dod customer,2.0
9858,the return of on specification jet fuel,example,0.0
9859,dfx for all diesel grade,use super grade code,0.0
9860,an initial sale fuel purchase document,equipment,2.0
9861,boat,25 gallon of dwcf fuel for recreational vehicle,2.0
9862,mobile camper,25 gallon of dwcf fuel for recreational vehicle,0.0
9863,nafi employee,3 federal and non federal civilian employee,2.0
9864,an open house or air show,installation sponsor event,2.0
9865,force landing,cash sale for aircraft in emergency condition,0.0
9866,adverse weather,cash sale for aircraft in emergency condition,0.0
9867,mechanical breakdown,cash sale for aircraft in emergency condition,0.0
9868,accounting line,6 agency use depositor information,0.0
9869,receipt,inventory transaction,1.0
9870,sale,inventory transaction,1.0
9871,credit,inventory transaction,1.0
9872,shipment,inventory transaction,1.0
9873,re,inventory transaction,1.0
9874,filter separator,system component,2.0
9875,basket strainer housing,system component,2.0
9876,flood,disaster,2.0
9877,fire,disaster,2.0
9878,investigation,documentation to dla energy for review in all instance,0.0
9879,gain,an investigation of discrepancy,0.0
9880,loss with a complete review of all transaction,an investigation of discrepancy,0.0
9881,a spill,a specific event,0.0
9882,filter separator,system component,2.0
9883,basket strainer housing,system component,2.0
9884,false tank bottom,evidence of fraud,0.0
9885,quality analysis change,additional data sheet,0.0
9886,a chemical,the addition of something in small amount,0.0
9887,receipt,inventory transaction,1.0
9888,sale,inventory transaction,1.0
9889,credit,inventory transaction,1.0
9890,shipment,inventory transaction,1.0
9891,filter separator,system component,2.0
9892,basket strainer housing,system component,2.0
9893,cement,permanent material,2.0
9894,concrete,permanent material,2.0
9895,the dod fleet card,government fuel card gfc program,2.0
9896,the swipe sea card,the dod ships bunkers easy acquisition sea card,2.0
9897,participating agencies,innovation for the gfc program,0.0
9898,the u,people for account,0.0
9899,identification,all account establishment information,0.0
9900,the cancellation of the u,local agency procedure,0.0
9901,army and air force exchange service and navy exchange service command station,a complete list of company,0.0
9902,all relate item,dispute for fuel or non fuel item,1.0
9903,backhaul,the charge card contractor for bunker contract ancillary service charge,0.0
9904,demurrage,the charge card contractor for bunker contract ancillary service charge,0.0
9905,passenger stair,f ground equipment fee,2.0
9906,auxiliary power unit,f ground equipment fee,0.0
9907,start,7 overtime charge,0.0
9908,the district,hawaii,2.0
9909,aircraft,the dod components,0.0
9910,cqa,related service,0.0
9911,qs,related service,0.0
9912,laboratory support,related service,0.0
9913,standardization,related service,1.0
9914,cataloging,related service,2.0
9915,the establishment of quality requirement for inclusion in tanker charter agreement,technical matter,0.0
9916,the evaluation of tanker for suitability,technical matter,0.0
9917,the name,a description of the waiver,0.0
9918,office symbol,a description of the waiver,0.0
9919,aviation fuel,the bulk fuels program with product,0.0
9920,naval distillate fuel,the bulk fuels program with product,0.0
9921,quality relate equipment,product quality deficiency,2.0
9922,operational problem,product quality deficiency,0.0
9923,test method,insertion of update specification reference,0.0
9924,insertion of additional customer information,type of catalog maintenance activity,1.0
9925,addition of update pricing information,type of catalog maintenance activity,1.0
9927,operational issue,dod energy initiative,0.0
9928,integration,dod energy initiative,2.0
9929,the commercial grade of fuel ethanol,alternative energy commodity,2.0
9930,fuel,any source of energy,1.0
9931,renewable,any source of energy,0.0
9932,revise test method,the information for a specific nsn,0.0
9934,inspection,the aggregate of function,0.0
9935,all procurement,each price,0.0
9936,storage,each price,0.0
9937,their functional operation,the property of supply,0.0
9938,initial fill of newly construct tank,storage change,0.0
9939,economic resupply quantity,datum,2.0
9940,erq,datum,2.0
9941,batch size,a variety of factor,0.0
9942,closed winter port,seasonally resupplie dfsp,2.0
9943,delivery quantity,seasonally resupplie dfsp,0.0
9944,ship or vessel load out,strategic operation,2.0
9945,aircraft,strategic operation,0.0
9946,motor gasoline,ground fuel product requirement,2.0
9947,heating oil,ground fuel product requirement,2.0
9948,diesel,ground fuel product requirement,2.0
9949,aviation gasoline,ground fuel product requirement,2.0
9950,requirement consolidation,total logistic support to customer for aerospace energy product,0.0
9951,a explanation,clarification,0.0
9952,dla energy contractor delivery,the specific cause,0.0
9953,handling,the specific cause,0.0
9955,time,any reason for the delay,0.0
9956,fuel exchange agreement,dwcf,1.0
9957,a clear explanation,transfer,0.0
9958,the cause of the discrepancy,transfer,0.0
9959,the dd form 250 1 dd form,complete loading document,0.0
9960,pipeline,justification for sole delivery mode,0.0
9961,dla energy,sponsor,1.0
9962,activity,sponsor,0.0
9963,policy oversight,function,2.0
9964,agreement development,function,1.0
9965,agreement negotiation,function,1.0
9966,development of priority,function,1.0
9967,terminal service,fuel and fuel relate service,0.0
9968,throughput,fuel and fuel relate service,2.0
9969,port service,fuel and fuel relate service,2.0
9970,quality surveillance support,fuel and fuel relate service,0.0
9971,receipt,processing of all transaction,0.0
9972,shipment,processing of all transaction,0.0
9973,sale,processing of all transaction,1.0
9974,credit,processing of all transaction,1.0
9975,dla energy regional office,the appropriate dla energy processing office,0.0
9976,dla energy inventory accountability division,the appropriate dla energy processing office,0.0
9977,common carrier pipeline,a daily inventory of dla product,0.0
9978,an itemized cost breakdown,cleanup completion,0.0
9979,a chemical,the addition of something in small amount,0.0
9980,spill,negative adjustment,2.0
9981,regrade,negative adjustment,2.0
9982,receipt,inventory transaction,1.0
9983,sale,inventory transaction,1.0
9984,credit,inventory transaction,1.0
9985,shipment,inventory transaction,1.0
9986,filter separator,system component,2.0
9987,basket strainer housing,system component,2.0
9988,tank truck,mobile conveyance,2.0
9989,line haul truck,mobile conveyance,2.0
9990,rail car,mobile conveyance,2.0
9991,a justification for any item,imc j to the immc chair,0.0
9992,the manufacture of part,item,2.0
9993,retail supply or maintenance organization on a single installation,low organizational level,0.0
9994,requirement determination,imm responsibility,0.0
9995,procurement,imm responsibility,0.0
9996,wholesale materiel manager,the term,0.0
9997,cost,factor,2.0
9998,useful service life,factor,0.0
9999,receipt,the current record balance with documentation of event,1.0
10000,shipment,the current record balance with documentation of event,1.0
10001,nuclear regulatory commission,storage licensing item,2.0
10002,tooling,government furnish property,0.0
10003,test equipment,government furnish property,0.0
10004,plant equipment,government furnish property,0.0
10005,materiel,government furnish property,0.0
10006,government industrial plant equipment special tooling,category of government property,0.0
10007,test equipment,category of government property,0.0
10008,requirement determination,imm responsibility,0.0
10009,procurement,imm responsibility,0.0
10010,responsibility,the term,0.0
10011,receipt,the current record balance with documentation of event,1.0
10012,shipment,the current record balance with documentation of event,1.0
10013,initial support requirement,retail stock,0.0
10014,requirement determination,imm responsibility,0.0
10015,procurement,imm responsibility,0.0
10016,responsibility,the term,0.0
10017,cataloging,management,2.0
10018,supply support,management,2.0
10019,requirement determination,imm responsibility,0.0
10020,procurement,imm responsibility,0.0
10021,data element,shelf life storage standard,0.0
10022,type of storage environment,requirement,1.0
10023,preservation,requirement,1.0
10024,packaging,requirement,1.0
10025,rate,factor,2.0
10026,degree of item degradation,factor,0.0
10027,associated criterion,factor,0.0
10028,item criticality,factor,0.0
10029,packaging,factor,0.0
10031,performance feature,the composite of material attribute,0.0
10032,characteristic,the composite of material attribute,0.0
10033,drawing,all applicable technical datum,0.0
10034,associated list,all applicable technical datum,0.0
10035,pattern,all applicable technical datum,0.0
10036,a comprehensive review of the dod shelf life program,the course,0.0
10037,inspection,storage standard information,0.0
10038,test,storage standard information,0.0
10039,accurate sccs,stock location record of shelf life item in storage,0.0
10040,manufacture date,stock location record of shelf life item in storage,0.0
10041,cure date,stock location record of shelf life item in storage,0.0
10042,packed date,stock location record of shelf life item in storage,0.0
10043,assemble date,stock location record of shelf life item in storage,0.0
10044,item,deletion,0.0
10045,disposal for all shelf life item,this category,0.0
10046,disposal for all shelf life item,this category,0.0
10047,disposal,this category,0.0
10048,format,these procedure,0.0
10049,form,these procedure,0.0
10050,time standard,these procedure,0.0
10051,instruction for the submission,these procedure,0.0
10052,tool,a single item of supply,0.0
10053,instrument,a single item of supply,0.0
10054,tool,a single item of supply,0.0
10055,instrument,a single item of supply,0.0
10056,care of supply in storage,stock readiness,2.0
10057,the ispm 15 certification mark,each item,0.0
10058,a pallet load,the wood packaging unit,0.0
10059,box,the wood packaging unit,0.0
10060,crate,the wood packaging unit,0.0
10061,side block gate,ispm 15 certification mark to dunnage assembly as one piece of resultant wood packaging product,0.0
10062,door gate,ispm 15 certification mark to dunnage assembly as one piece of resultant wood packaging product,0.0
10063,center gate,ispm 15 certification mark to dunnage assembly as one piece of resultant wood packaging product,0.0
10064,nose gate,ispm 15 certification mark to dunnage assembly as one piece of resultant wood packaging product,0.0
10065,the united states,to which over 157 government,0.0
10066,the protection of natural flora,plant health,2.0
10067,the procurement of spare,life cycle management for nonconsumable item,1.0
10068,volume,regulation,0.0
10069,depot repair,supply support,0.0
10070,price history,the gim,0.0
10072,the funding,the resource for assign logistic responsibility,0.0
10073,foreign military sale,the pica,0.0
10074,security assistance program,the pica,0.0
10075,a mipr,document,0.0
10076,materiel management,logistics function,2.0
10077,requirement determination,integrated materiel management responsibility,2.0
10078,procurement,integrated materiel management responsibility,1.0
10079,distribution overhaul,integrated materiel management responsibility,2.0
10080,requirement determination,integrated wholesale materiel management responsibility,2.0
10081,procurement,activity,1.0
10082,distribution,activity,2.0
10083,receipt,the current record balance with documentation of event,1.0
10084,supply activity,those activity,0.0
10085,pesticide,base management practice,2.0
10086,recommend response to dod component request for addition,the consolidated dod storage management report,0.0
10087,reallocation of storage space,the consolidated dod storage management report,0.0
10088,a bag,a receptacle,0.0
10089,barrel,a receptacle,0.0
10090,drum,a receptacle,0.0
10091,box,a receptacle,0.0
10092,crate,a receptacle,0.0
10093,package,a receptacle,0.0
10094,procedure,management procedure,0.0
10095,qualified receiver,dod contractor,0.0
10096,material,mppeh,0.0
10097,material,example,0.0
10098,three dimensional 3,range relate debris,0.0
10099,munition,this category,0.0
10100,munition storage area,location,0.0
10101,munition,this subcategory,0.0
10102,debris,this subcategory,0.0
10103,bomb fin,explosive,2.0
10104,sabot sleeve,explosive,2.0
10105,munition component,this subcategory,0.0
10106,material,this category of mppeh,0.0
10107,munition can,this subcategory,0.0
10108,box,this subcategory,0.0
10109,tube,this subcategory,0.0
10110,packaging,this subcategory,0.0
10111,munition container,this category,0.0
10112,packaging material,this category,0.0
10113,bulk explosive,munition,2.0
10114,explosive residue,munition,2.0
10115,munition development,this type of mppeh,0.0
10116,bulk explosive,munition,2.0
10117,explosive residue,munition,2.0
10118,facility,this category of mppeh,0.0
10119,equipment,this category of mppeh,0.0
10120,rebar,debris,2.0
10121,household item,debris,2.0
10122,e,debris,0.0
10123,tsc,requirement,2.0
10124,demilitarization,requirement,1.0
10125,environmental compliance,requirement,1.0
10126,safety measure,operate procedure,0.0
10127,material composition of the equipment,design drawing,0.0
10128,unused item,every item of dod property,0.0
10129,use or damage item,every item of dod property,0.0
10130,completion of an euc i,these administrative procedure,0.0
10131,sorting,processing,0.0
10132,esacc,material,2.0
10133,the recovery,that range clearance activity,2.0
10134,the use of hand tool,time,1.0
10135,forklift,time,0.0
10136,banding equipment,time,0.0
10137,glove,the proper ppe,0.0
10138,use of control access area,method,1.0
10139,lock container,method,2.0
10140,separate storage location within a storage site,method,1.0
10141,moveable sign,method,1.0
10142,live fire training,mppeh,0.0
10143,testing,mppeh,0.0
10144,condition,write procedure,0.0
10145,component,general demilitarization of munition,2.0
10146,explosive,a total destruction of the energetic material,0.0
10147,pyrotechnic,a total destruction of the energetic material,0.0
10148,specially design target,these material,0.0
10149,target holder,these material,0.0
10151,mover,these material,0.0
10152,tank,target,0.0
10153,vehicle,target,2.0
10154,airframe,target,2.0
10155,the name,require datum,0.0
10156,mdas,physical custody of md,0.0
10157,research,reuse of conventional munition,0.0
10159,equipment,reuse of conventional munition,0.0
10160,corrective action,quarterly summary to the ddesb,0.0
10161,a running total of tonnage,accountability through a wash post transaction from weight ticket,0.0
10162,appropriate handling,it,0.0
10163,management,it,2.0
10164,brass,recyclable material,2.0
10165,scrap metal,recyclable material,2.0
10166,propellant,recyclable material,2.0
10167,explosive,recyclable material,0.0
10168,munitions,mppeh,0.0
10169,explosives of concern,mppeh,0.0
10170,size,general description of propose contract facility,0.0
10171,local agreement,firefighting resource,1.0
10172,documentation,firefighting resource,0.0
10173,accident experience,a safety history,0.0
10174,operational procedure,a demonstrable safety program,0.0
10175,missile fragmentation map,detail,0.0
10176,photograph,detail,0.0
10177,detailed description of accident,detail,0.0
10178,event time line,detail,0.0
10179,chemistry,detail,0.0
10180,effect on adjacent operation,detail,0.0
10181,structural and equipment damage,detail,0.0
10182,qd drawing,detail,0.0
10183,finding,detail,0.0
10184,conclusion,detail,0.0
10186,intraplant transportation method,a careful analysis of all fact,0.0
10187,net explosive weight,a careful analysis of all fact,0.0
10189,shutdown,emergency procedure,0.0
10190,safe work practice,emergency procedure,0.0
10191,hot water,cleaning method,2.0
10192,steam,cleaning method,2.0
10193,bronze,non spark metal,2.0
10194,explosive plant clothing,protective clothing,0.0
10195,anti contamination clothing,protective clothing,2.0
10196,impervious clothing,protective clothing,0.0
10197,partly or completely load flatbed,vehicle,2.0
10198,bowl lifting,proper function of operate system,2.0
10199,radiographic and dye penetrant inspection of the blade,a minimum,0.0
10200,severe weather exposure,unusual event,0.0
10201,earthquake,unusual event,2.0
10202,bulk trinitrotoluene,example,0.0
10203,artillery ammunition,example,0.0
10204,grenade,example,0.0
10205,sound device,example,0.0
10206,flare,example,0.0
10207,wp,example,0.0
10208,plasticize white phosphorus,example,0.0
10209,water activate device,example,0.0
10210,hill,topographical feature,2.0
10211,k9,the value of k,0.0
10212,k11,the value of k,0.0
10213,k18,the value of k,0.0
10214,fall building debris,secondary blast effect,2.0
10215,baseball diamond,open air recreation facility,2.0
10216,golf course,open air recreation facility,0.0
10217,protective structure,method,0.0
10218,suppressive shield,method,2.0
10219,blast mat,method,2.0
10220,curtain,method,2.0
10221,equipment design,method,1.0
10222,location,method,2.0
10223,barricade,method,2.0
10224,terrain,method,2.0
10225,all heavy wall,primary fragment,0.0
10226,h,primary fragment,0.0
10227,all h,primary fragment,0.0
10228,h r agss,primary fragment,0.0
10229,speed of vehicle,consideration,0.0
10230,number of passenger per vehicle,consideration,0.0
10231,protection,consideration,0.0
10232,cluster bomb,submunition,2.0
10233,hangar,facility,2.0
10234,troop building,facility,2.0
10237,hd,qd criterion for each hd,0.0
10238,rocket and missile tankage,all type of container,0.0
10239,otto fuel ii,nitrate ester base formulation,0.0
10240,liquid monopropellant,nitrate ester base formulation,2.0
10241,earth fill steel bin barricade,barrier,2.0
10242,physical isolation from electric motors,special consideration,0.0
10243,device,special consideration,0.0
10244,lighting fixture,special consideration,0.0
10245,rocket,electrically initiate item,2.0
10246,lead,non spark material,0.0
10247,conductive rubber,non spark material,2.0
10248,calibration of test equipment,documentation of all test result,0.0
10249,silk,static generating stocking,2.0
10250,wool,static generating stocking,2.0
10251,metallic aluminum,a physical mixture of a fuel,0.0
10252,a binder,a physical mixture of a fuel,0.0
10253,mold,metal surface,2.0
10254,mandrel with teflon,metal surface,2.0
10255,release material,metal surface,0.0
10256,aluminum,recommend material for hand tool,0.0
10257,oil resistant neoprene,recommend material for hand tool,0.0
10258,beryllium copper alloy,recommend material for hand tool,0.0
10259,ansi,recommend material for hand tool,0.0
10260,300 stainless steel,recommend material for hand tool,0.0
10261,temper steel,recommend material for hand tool,0.0
10262,tool speed control,safety consideration,0.0
10263,propellant and propellant material,ae,0.0
10264,ammonium perchlorate,oxidizer,2.0
10265,magnetic separator,method,2.0
10267,ammonium perchlorate,mechanized drying of perchlorate,0.0
10268,composition,pyrotechnic,2.0
10269,ap,themselves,2.0
10270,an adjacent explosion,severe stimulus,2.0
10271,thermal energy,severe stimulus,2.0
10272,magnesium,metal,2.0
10274,an almost unlimited variety of organic sugar,fuel,2.0
10275,red gum,fuel,2.0
10276,lead azide,explosive,2.0
10277,lead styphnate,explosive,2.0
10278,cross contamination of oxidizer,the dangerous effect of contamination,0.0
10279,fuel,the dangerous effect of contamination,0.0
10280,guide,control measure,0.0
10281,bushing,control measure,2.0
10282,stop,control measure,2.0
10283,feed rate,factor,2.0
10284,type of composition,factor,0.0
10285,tooling,factor,0.0
10286,blade wipe brush,additional chip removal equipment,0.0
10287,hexachloroethand,some relatively insensitive composition,2.0
10288,ir flare composition,sensitive material,2.0
10289,substance,unstable ae,0.0
10290,their reaction,operational personnel on the characteristic of explosive substance,0.0
10291,non combustible construction,design feature,0.0
10292,fire,design feature,2.0
10294,bolt,fastener,2.0
10295,lead azide,initiate explosive,0.0
10296,tnt,main charge,0.0
10297,tnt,main charge explosive,2.0
10298,tritonal,main charge explosive,2.0
10299,rdx,main charge explosive,2.0
10300,polystyrene,conventional high explosive with plastic binder,2.0
10301,viton,conventional high explosive with plastic binder,2.0
10302,estane,conventional high explosive with plastic binder,2.0
10303,a magnaflux,a rigid test,0.0
10304,x,a rigid test,0.0
10306,pco,responsible personnel,0.0
10307,pad,manufacturing area,2.0
10308,pit,manufacturing area,2.0
10309,basin,manufacturing area,2.0
10310,pond,manufacturing area,2.0
10311,stream,manufacturing area,2.0
10312,black powder,sensitive explosive,2.0
10313,the dupont detect a,test instrument,0.0
10314,rdx,explosive powder,2.0
10315,hmx,explosive powder,2.0
10316,power plant,an auxiliary building,2.0
10317,facility design,regulation of facility operation through the use of prudent engineering principle,0.0
10318,operation sequencing,regulation of facility operation through the use of prudent engineering principle,0.0
10319,equipment selection,regulation of facility operation through the use of prudent engineering principle,0.0
10320,clothing,combustible material,0.0
10321,visitor,operation,0.0
10322,facility boundary,expose site,0.0
10323,wholly inert administrative facility,expose site,0.0
10324,torpedo,example of non robust munition,0.0
10325,underwater mine,example of non robust munition,0.0
10326,powdered metal,the explosive or chemical ingredient,2.0
10327,boat,transport,2.0
10328,firefighting,practical consideration,0.0
10329,security,practical consideration,0.0
10330,document destroyer,limited quantity of item in this hazard division,0.0
10331,signal device,limited quantity of item in this hazard division,0.0
10332,riot control munition,limited quantity of item in this hazard division,0.0
10333,hangar,regard to qd iaw fire protection regulation in facility,0.0
10334,arm room,regard to qd iaw fire protection regulation in facility,2.0
10335,manufacturing,regard to qd iaw fire protection regulation in facility,0.0
10336,operating building,regard to qd iaw fire protection regulation in facility,0.0
10337,aircraft disinsectization,pesticide,2.0
10338,name,a list of certify pesticide applicator,0.0
10339,certification number,a list of certify pesticide applicator,0.0
10340,posting,pesticide exposure,2.0
10342,natural and cultural resource,coordination with appropriate location office,0.0
10343,surveillance,a historical record of pest management operation,0.0
10344,augmentation contract,pest management contract,0.0
10345,contractor,pest management personnel,0.0
10348,applicable national environmental policy act of 1969 documentation,accordance with dod and dod component environmental requirement,2.0
10349,the environmental assessment,project documentation,0.0
10350,insect,control of medically pest,0.0
10351,arthropod,control of medically pest,0.0
10352,cockroach,self help materiel,2.0
10353,gypsy moth,the interstate movement of quarantinable pest,0.0
10354,wildlife aircraft strike hazard reduction,vertebrate pest management program,2.0
10355,regulatory drive species management,vertebrate pest management program,2.0
10356,landscape recovery program,vertebrate pest management program,2.0
10357,self help,specialized pest management training in area,0.0
10358,maintenance inspector,specialized pest management training in area,0.0
10359,facility management,specialized pest management training in area,2.0
10360,bird aircraft strike hazard,specialized pest management training in area,0.0
10361,both installation administration,ipmc training,0.0
10362,pest,ipmc training,0.0
10363,source control,biting flies,2.0
10364,name,pmps,2.0
10365,pesticide applicator certification number,pmps,0.0
10366,pest control category,pmps,0.0
10367,date of initial certification,pmps,0.0
10368,date of certification,pmps,0.0
10369,name,pmpar,2.0
10370,name,official,2.0
10371,pesticide applicator certification number,official,0.0
10372,pest control,official,2.0
10373,name,information on ipmc,2.0
10374,aircraft disinsection,special training for limited site application of pre select pesticide,0.0
10375,contamination of water supply,environmental contamination,2.0
10376,food,environmental contamination,2.0
10377,pesticide misuse,2 suspect violation,0.0
10378,record falsification,2 suspect violation,0.0
10379,pesticide application calculation,70 percent for the core phase,0.0
10380,equipment calibration,70 percent for the core phase,0.0
10381,site,9 direction for use,0.0
10382,recognition of pertinent information on the label,2 first aid,0.0
10383,health,2 consequences of improper disposal,0.0
10384,body covering,6 ppe,0.0
10385,goggle,6 ppe,0.0
10386,apron,6 ppe,0.0
10387,glove,6 ppe,0.0
10388,hat,6 ppe,0.0
10389,foot covering,6 ppe,0.0
10390,goggle,6 ppe,0.0
10391,resistance to pesticide,lead to problem,0.0
10392,ipm factor,pest control strategy,2.0
10393,characteristic,4 granular applicator,0.0
10394,advantage,4 granular applicator,0.0
10395,rodent control technique,3 control of vertebrate disease reservoir,0.0
10396,title,federal employee of the dod,2.0
10397,calibration,availability for reason,0.0
10398,maintenance,availability for reason,0.0
10399,reduction for facility,this factor,0.0
10400,equipment,this factor,0.0
10401,non,this factor,1.0
10402,lathe,machine shop support equipment,2.0
10403,drill press,machine shop support equipment,2.0
10404,plating,bulk processing work station,0.0
10405,chemical cleaning,bulk processing work station,0.0
10406,an aircraft parking apron,a park vehicle,2.0
10407,the number of work position,a park vehicle,0.0
10408,the dry dock,an overhaul,2.0
10409,pier side,an overhaul,2.0
10410,shop work,an overhaul,2.0
10411,activity level capacity index datum,capacity index calculation,0.0
10412,holiday,worker,2.0
10413,calibration,availability,0.0
10414,management supervision,function,2.0
10415,engineering,function,1.0
10416,production control,function,1.0
10417,function,general shop support,0.0
10418,pressure,measurement device,2.0
10419,bomb rack,delivery system,2.0
10420,missile rack,delivery system,2.0
10421,radar system,electronic equipment,2.0
10422,radio,electronic equipment,2.0
10423,uncanning,the work function,0.0
10424,disassembly,the work function,0.0
10425,cleaning,the work function,0.0
10426,repair,work function,1.0
10427,overhaul,work function,0.0
10428,repair,work function,1.0
10429,overhaul,work function,0.0
10430,repair,work function,1.0
10431,overhaul,work function,0.0
10432,disassembly,work function,2.0
10433,inspection,work function,0.0
10434,cleaning,work function,0.0
10435,repair,work function,1.0
10436,teletype,category of equipment,0.0
10437,facsimile,category of equipment,0.0
10438,telephone,category of equipment,2.0
10439,telegraph,category of equipment,0.0
10440,intercom,category of equipment,0.0
10441,maintenance of satellite control,communication electronic equipment,2.0
10442,bomb,their component,2.0
10443,grenade,their component,2.0
