Hyponym,Hypernym,Tag
Inspector General,scheduled Service site visit,
the requirement,student,
site preparation,activity,
counseling service,recommendation,
the Federal Aviation Administration,certification,
the assessment,recommendation,
special compartmented information billet support,administrative service,
award,the cover CGCA,
specialized firefighting equipment,the fire base camp,
small arm,the DoD,
development,technology transfer,
information,intelligence,
risk decision point,the RMF task,
cost,program definition,
production,system,
Care,Stock Readiness,
any death,time,
accounting line,Depositor information,
regulation,directive,
SCI,information,
the subordinate commander,factor,
a U,any person,
attendance,law,
table tent,promotional device,
transmission and information system,SCI,
hardware,service,
fuel type,specific fuel delivery information,
an assessment,use,
early leak detection,conservation method,
chemical,alternative labeling requirement,
assessment,potential solution,
health surveillance,DoD,
the United States Coast Guard,the Military Departments,
joint exercise,all military planning effort,
activity,service,
procedure,the inventory,
annual active duty,the Reserve Components,
compilation,activity,
arm room,facility,
eligible health care beneficiary,the DoD Components,
incident and accident report,all message,
action,official purpose,
the extended health care option,TRICARE benefit,
human resource,and common support service,
limit,appropriate safeguard,
amendment,an IRB,
silver,critical metal,
requirement,Due process hearing,
PCO,responsible personnel,
a chemical,small amount,
oversight,ntv,
handicapped person,interested person,
USAID,agency,
the production,STRIPES,
laboratory result,CPS,
research,any systematic investigation,
demand frequency,characteristic,
information,DoD,
DoD issuance,vehicle,
pay,NAF personnel management,
banner marking,classified message,
program or process level metric,chain,
a contact person,the specimen,
Service crosse,the Military Departments,
milestone,performance goal,
the DoD,the DoD,
student,performance result,
the condenser,cool water system,
any anticipate cost saving,transaction,
activity,YPs,
support,GCMC,
the safe handling,the supply chain,
food service,mission program,
rat,any live or dead vertebrate animal,
canteen worker,appropriate fund instrumentality,
oxygen cut torch,temperature cutting tool,
any comment,clinical review panel,
utility,category,
Reserve component facility,military construction program,
the reason,member service,
the applicable international agreement,factor,
model,service,
research,medical institution,
access approval,IS,
installation management,planning and compliance status,
responsibility,the United States,
the Military Departments,the DoD,
appropriate record keeping,a specific medical protocol,
the concealment,information,
demurrage,bunker contract ancillary service charge,
guard force,item,
who,pay,
line,ccmd,
a funeral service,interment JOA,
compensation table,federal benefit,
DHS,the critical asset,
water,utility service,
hardware,ICT,
chapter,criminal law,
final semester residency,study,
operating,capability requirement,
Alaska,America,
repository,STI service,
those emergency,civil authority,
contracting officer,acquisition official,
facility,or contractor resource,
all final combiner,characteristic,
public repose,demise JOA,
explosive,response action,
support,management control,
lift,specialized equipment,
improve timeliness,efficiency improvement,
translation support,service,
emergency,supplemental assistance,
support position,faculty position,
presidential protection,protective service,
paperback book and magazine kit,item,
foreign government,customer,
a define geographic area,small specify area,
training,ORTA personnel,
gift item,donate property,
TSC,relate technical area,
the Pan American Games,national and international sporting event,
a military aircraft accident,a single incident,
endemic infectious disease agent,health hazard,
tolerance,critical feature,
the wholesale asset position,discrepant materiel,
communication equipment,installation,
engineering term,tool,
sizing,the MRTFB,
those personnel,the GSLB,
incentive structure,activity,
lease space,Defense,
executive order,broad authority,
proper security clearance,order,
interpretation,result,
plumbing,fix equipment,
external hard drive,ancillary equipment,
DoD,government,
oversight,DoD network,
article,DoD property,
contractor,person,
a common set,an assessment methodology,
a general statement,the serious health condition,
defense,environmental restoration,
the United,any country,
special study,litigation,
the miss man formation,Flyovers,
an RCA,review,
the intelligence production center,Defense Intelligence analytic resource,
Instructions,regulation,
all scientist,personnel,
distribution,effective fuel capability,
administrative report,record,
who,military medical treatment,
functional oversight,program,
law enforcement,military first responder,
an estimate date,treatment,
pet,service dog,
demand response,various purpose,
the establishment,NLW human effect,
the meter,any reason,
function,afn broadcast purpose,
fungus,harmful microorganism,
blood sugar monitoring,accommodation,
procedure,risk assessment methodology,
a witness,information,
individual,civilian provider,
require refresher training,employee,
depot repair,supply support,
record,suspension action,
specific citation,the denial,
qualification,trade,
a MIPR,document,
it standard,programmatic and technical guidance,
provision,the Members dependent family member,
surplus,a Military Service or Defense Agency,
personnel,DoD APFs,
ontology,structural metadata,
a telework center,an alternative worksite,
the host nation,stakeholder,
computer,equipment,
the use,exist facility,
DoD policy,DoD policy,
member,gender dysphoria,
datum,the DoD,
third party,all source,
personnel,DoD functional area,
power,amphibious operation,
hearing,Physical development,
foreign country,place,
reference,regulation,
DoD,the DES,
rocket,container,
platform IT system,all connect ISs,
code,tool,
a record,the incident,
hypodermic needle,Sharps,
hardware,program protection,
takeoff,production assistance,
reference,the penalty,
package,a receptacle,
dimension,the asset,
fee,actual cost,
change,personnel,
facility,the JTS,
the filing,this issuance,
word processor,office automation package,
STI,practice,
developmental testing,development,
DoD support,nuclear weapon system,
common share datum,share enterprise service,
an offense,abuse case,
work location,exposure,
spacing,the Defense Privacy Office,
vehicle,ntv,
equipment,USSOCOM,
a pin or biometric input,factor,
enlist member,all retire uniformed Service member,
military attack,any occurrence,
authority,this issuance,
school,channel,
coordination,the Department,
capability,the CSA,
dna,medical practice,
war,requirement,
distance,360 radius,
documentation,business associate,
exist child care facility,delivery system,
appropriate criminal action,disciplinary action,
duty officer,individual,
Records Holding Area,phase name,
cap,AWF position,
therapy animal,service dog,
appropriate step,the Program,
intelligence,maritime information,
laundry,specialized logistics service,
the standard synopsis and witness statement matrix,an initial award,
the development,DCIPS matter,
continuous and impulse noise,military duty,
ln,contractor personnel,
book,all write information,
primary care manager,professional,
a clear explanation,ship transfer,
linear,automatic identification technology,
any time,function,
specific executive decision memorandum,agreement,
performance report,document,
military,educational activity,
name,activity,
reimbursement requirement,DoD policy,
combat,all anticipate mission,
section,United States Code,
a chronic,a previously diagnose condition,
GFP,property,
size,propose contract facility,
training,all military planning effort,
wastewater collection,utility,
bank,financial institution,
level,the Program,
acquisition,activity,
funding,the Committee,
seizure,civilian law enforcement activity,
a supervisor,individual,
America,national event,
procurement program,all IT,
good practice,requirement,
reference,guidance,
the release,document,
logistics,support and C2 function,
change,the scheduling,
outyear funding requirement,current and future funding need,
type,each propose program,
enlist special Government employee,department,
bullet,briefing slide,
performance assessment,additional element,
foreign government,industry,
the National Security Council,agency,
communication support,federal entity,
a safety critical risk,the embed software path,
research,support,
facility,WFS appropriation,
the DISA,the DODIN,
victim,appropriately skilled professional,
PPBE,CTOC activity,
DoD civilian,the organization,
DoD Component,learning,
the purpose,activity,
graduate,all health profession,
treatment,utility,
the National,the CJCS,
RMs,program,
body armor,personal protective equipment,
the development,command operational requirement,
system,management system,
pesticide application calculation,the core phase,
the parent,the IFSP team,
sharing,physical safeguard,
the National Guard,a state military department,
personnel security investigation record,purpose,
open play bowling,service,
participation,the prisoner confinement file,
quality assurance,logistic action,
cooperation,terrorist or criminal activity,
platform,weapon system,
the FRC,time,
rapid access,casualty assistance,
TACON,relation,
component,item,
age,relevant demographic datum,
assessment,service,
research,DoD acquisition program,
word,Federal information processsing system,
valve,distribution system component,
conference,activity,
basic and advanced life,emergency service,
testing,any systematic investigation,
big box discount,use,
time,the delay,
planning,arm control agreement,
single point,supply chain risk,
contractor employee,applicant,
keyboard,hard drive component,
maintenance,activity,
an HPA,external power amplifier,
the assignment ofFLOs,command,
any specie,natural resource,
an explanation,each MIE,
coordination,relocation,
analysis,DC3 activity,
extent,supplemental facility requirement,
high school diploma graduate,high priority,
recreation,youth,
military exchange,authorized activity,
storage,effective fuel capability,
special program requirement,tool,
financial management,budgetary and fiscal matter,
extreme hardship,unusual personal reason,
intelligence,the DoD,
capital investment,this service,
U,facility,
the contractor furnishing,matter,
passenger,ntv,
risk,security management process,
AIT,SIM capability,
child care,an hourly basis,
scarf,accessory,
training,establish uniform professional qualification,
dredging,harbor,
technical assistance,document service,
all personnel,the public,
consideration,environment,
url,contact information,
Conseil International du Sport Militaire,national and international sporting event,
storage,topic,
exist and planned mitigation,NC status,
support,capability requirement,
mailing address,component,
PII,unclassified Government datum,
the file name,the web site,
bird,any live or dead vertebrate animal,
the evaluation factor,this Instruction,
direction,conduct and ethic guidance,
prompt reemployment,USERRA,
factory,facility,
prefix,the AFSC,
Great Power competitor,adversary,
calibration,all test result,
publish article,prospective candidate,
the detainee,time,
event,military service,
pipeline,delivery mode,
broad agency announcement,Solicitations,
retire military,DoD personnel,
manufacture,or nuclear energy,
barrack,duty,
the following,statement,
direction,appeal procedure,
head,agent,
special act,effort,
transfer,the Defense Material Disposition Program,
security,mission requirement,
a stepchild,an unmarried child,
the DoD,mission and security requirement,
partnership,healthcare provider,
the release,intentional CBRNE event,
the provision,any covered waste,
DoD,contract language,
datum,Military Department datum call,
officer representative,official,
duct,the air,
school personnel,family,
tablet,mobile device,
contact information,specific office,
cybersecurity requirement,the DODIN,
the IOSS,external resource,
an adopt child,an unmarried child,
uas,the air,
operation,retirement,
Coast Guard personnel,member,
international armament cooperation,program,
the standard,all ethic provision,
if the loss,civilian capability,
the Blended Retirement System,o Retirement planning,
operation,activity,
remain transport and mortuary affair,fatality management assistance,
arm control,legal regime,
cyberspace metric,focus,
copper wire,nonferrous metal,
lead,sparking metal,
return,chain,
military contingency,policy and program activity,
UC,DoD Components operational requirement,
policy,oversight,
communication system,capability,
DoD support,service,
operation,management,
associate personnel,system,
port,waterway,
league bowling,service,
metallic aluminum,a fuel,
shop work,overhaul,
highway,DTS infrastructure,
the Pentagon,the NCR,
wool,static generating stocking,
IC element,the OGA head,
plant,living resource,
budgeting,Combatant Commanders,
exercise,civil sar function,
suicide,criminal fatality,
standard operating,purpose,
an annual reevaluation,component recommendation,
CSDR plan,CSDR material,
target designation,function,
agency sign,Pentagon,
part cleaning,work function,
rape,violence,
consultant expense,development,
risk management methodology,area,
spare or replacement part,a criticality analysis,
the use,improvement,
the limitation,each Limited FCL,
contracting,spp,
organ,nudity,
promulgation,information system,
an individual,a DoD Component,
value,discrepant materiel,
the assistance,procedure,
transit time,factor,
book,item,
fire party,honor,
certificate,Identity Protection Management Senior Coordinating Group,
the secretary,service,
Participating Agencies,program,
transportation cost,property,
any extension,assignment,
the cryptomodule,a physical device,
reduction,thing,
a rigorous system,MCSC,
cutoff and disposal instruction,schedule,
MSPB,an Agency,
career,resilience,
research and development site,facility,
personnel,related information resource,
tribal elder,appropriate attendee,
medium,the cost estimate,
associate information,space capability,
the Defense Transportation Coordi,DoD program,
the release,the evaluation,
electric,utility distribution system,
IRT advisory council,the IRT program,
black powder,sensitive explosive,
change,mean,
chaplain,direct commission,
medical care,patient,
the DD Form,complete loading document,
option,the contract,
representation,PPBE process,
datum,knowledge,
safety,activity,
water selection,operation,
an initial determination process,application,
jewelry,item,
host nation,component,
funding,a lead Military Department,
budget,DoD functional area,
lead,dangerous substance,
corrective action,the DDESB,
human resource management,the SCO,
tin,nonferrous metal,
interim stop,the Dover Port Mortuary,
damage,a building,
collaborative training,procedure,
DC3 analysis,CS and IA activity,
control substance,inventory item,
right bundle branch block,conduction disturbance,
the President,duty,
service,fund,
supervisor,leader,
financial liability,planning document,
Earth Day,national event,
deadhead,the measure route distance,
a Developmental Evaluation Framework matrix,capability implementation plan,
a nonappropriate fund employee,a civilian employee,
allowance,dollar amount field,
appropriate facility,administrative and logistics support,
the National Intelligence Strategy,strategic guidance,
procedure,family,
removal,the closure plan,
fuel,asset,
cataract,the lens,
corpsman,medical training,
DIB activity,expeditionary assignment,
the FACAT,a comprehensive DoD response,
professional journal,private and public medium,
switch,method,
logistic,function,
transportation,civilian nafi,
a member,the armed force,
Title,the DoD,
summon,an administrative request,
all response,intelligence continuity plan,
special nuclear weapon procedure,account,
receipt,the waste,
a medal,no military decoration,
the use,contracting mechanism,
country,a geographical location,
funding,all require resource,
DoDEA,DoD employer,
intelligence,conflict assessment,
request waiver,certification,
security,the JTS,
military family housing,military facility,
brush,naturally occur fuel,
the internal audit plan,deca internal control program,
employer cost,benefit,
the component part,product,
linen,specialized logistics service,
the Defense Office,component website,
comedy,or amusement,
chiropractor,practitioner,
OSD Components,mef,
oil residue,any oil content,
pencil,minor value,
simulation,operation,
SEP Managers,EEO Managers,
IC policy,broad authority,
Federal officer,member,
instructor,the DRMI,
deploy location,responsibility,
distribution,activity,
FGI,information,
child,family,
tactical radio,lmr functionality,
appeal,all foreign judicial proceeding,
NIEM adoption,information exchange model,
staff,an FAO,
translator,appropriate attendee,
golf instruction,service,
ship,some program,
RMF security,authorization,
this instruction,regulation,
body,individual warfighter system,
member,this Iinstruction,
cybersecurity,it standard,
status,applicable international agreement,
member,member,
responsibility,the military justice system,
military family housing construction,military facility,
all hotel,a JCOC,
those facility,federal contribution,
alarming service issue,various purpose,
CL submission,SC certification activity,
the recovery,that range clearance activity,
DoD Language Training Centers,education program,
the transmission,assign function,
poster,medium,
oversight,the DoD security program,
energy supportability,energy factor,
grass mowing,Grounds maintenance,
a memorandum,any agreeable mean,
how the experience,patient,
relationship issue,stressor,
station,word,
evaluation,document,
scripting,production,
specialty pay,program,
incorporation,initiative,
electronic mechanism,destruction,
use,ceta,
transportation cost,official travel,
decontamination,resultant cost,
initial design,modification program,
housing type,suitability,
solicitation,personal financial gain,
counseling,administrative power,
policy,sensitive special operation,
possibility,threat,
counterfeit materiel risk reduction,materiel management,
the installation youth sponsorship,CYPs,
experimentation,defense,
security force,detention operation,
quarantine,border clearance requirement,
plan,security measure,
response,civilian law enforcement agency,
enhancement,industrial base responsiveness,
condition code,material master datum,
the Component head comment,Executive Secretary,
salary,compensation,
a President,three voting member,
equipment,or contractor resource,
the capability,budgeting process,
DoDD,exist DoD policy,
tlo,management training,
lock,item,
hardware,Center,
near miss,AE,
guidance,DDESB issuance,
the Secretary,duty,
human capital,the cap,
finance,functional area,
airlift,DoDs infrastructure,
FBI,agency,
permanent change,Lodging,
FMF,dod authority,
music,field,
manpower mix criterion,manpower management,
vacancy announcement,personnel notice,
lobbying,relation activity,
a list,the SHPE,
useful service life,factor,
the International Olympics,territory,
a reduction,recommendation,
network,that information system,
proper management,program,
EIS,EDIS,
the development,or nuclear energy,
DoD Component,the DISN,
additional portion,conflict,
rain,weather,
Service,the Joint Capabilities Integration and Development System process,
commander,leader,
communication system,mission,
instruction,the osc,
distribution,the food industry,
dust cloth,item,
height,physical characteristic,
DoD inventory,source,
expungement,this issuance,
alteration,any property improvement,
facility survey,preparation,
the alternative,time,
additional review,an IRB,
research,all DoD cybersecurity research and engineering investment,
education,country,
chromium,heavy metal,
the appropriate security,Defense,
accident,radiological matter,
development,service,
instruction,a disability,
the first opening,DoD postal services,
insider threat analyst,personnel,
Civil Liberties,Compliance,
this Directive,regulation,
tax assistance,legal assistance,
donation,the Defense Material Disposition Program,
a functional evaluation,a disability,
administrative support,federal entity,
access,specific STIP function,
Mexico,America,
alignment,key issue,
the type,the EFAC operational component,
disapproval,measure,
recollection,the incident,
document,all write information,
conference,event,
amphibian,pesticide,
support,leadership,
the opportunity,informed consent,
associated staffing,energy commodity,
video,medium,
name request,form,
CAE,performance result,
the preparation,FMS transfer,
the IG DoD,subpoena,
emergency permit,appropriate RCRA permit,
referral,policy,
production,equipment,
capital investment,service,
the target,the threat,
DoD Component,time,
the 1978 MARPOL Protocol,1973 MARPOL Convention,
basket strainer housing,system component,
member,SC executive,
local mayor,agent,
paper,form,
those govern application,procedure,
blood,an infectious agent,
the identity,all specimen testing,
the Joint COMCAM Program,the DoD VI program,
arrangement,establishment,
harassment,discrimination,
computer,electronic and allied equipment,
the employee,program,
owner manual,documentation,
contractor,civilian employee,
freight forwarder,all commercial entity,
asbestosis,fibrotic lung disease,
benefit,cost,
scale,whether to buy or lease associate equipment,
ultimate disposal,ensure transfer,
in which child,a setting,
Department,authorization,
camp,word,
host,a DoD Component,
resourcing request,location development,
transportation,critical infrastructure,
barrier material,protective measure,
datum input,issue,
salary,service,
the waiver,time,
human resource,common support service,
separation,punitive or administrative action,
analyst,a detainee,
support,MWD tasking request,
time,current inspection status,
positive occult blood,gastrointestinal bleeding,
visit Officer Quarters,name,
target population,the public,
mushroom,seven fresh topping,
the communication,COMSEC,
religious ceremony,culturally specific circumstance,
software,service,
the acreage,each BRAC 2005 location,
plan,strategic plan,
development,information system,
mental health provider,professional,
field maneuver,military,
target technology,topic,
organizational factor,issue,
submission,criminal history datum,
the DoD,organization,
mission assurance service,multiple service layer,
focused recruitment,program,
an offense,a crime,
counseling,corrective measure,
supply support,asset,
script kiddy,external threat,
communication,challenge,
windshield wiper,120 faulty equipment,
section,medical facility,
BMDS architecture,defense,
population,360 radius,
the Service member,service treatment record,
ultimate disposal,transfer,
letter,formal communication,
guerrilla warfare,traditional method,
preservation,service,
forensic and analytic support,unclassified DoD information,
activity calendar,promotional device,
date,Service history,
the Office,the Military Departments,
the MDA senior,act,
point,the routing,
china,household good,
all software capability description,government expense,
ground,and control,
the requirement,this issuance,
the economic analysis,project documentation,
community planning,mitigation,
development,DoD acquisition program,
evaluation,a Military Department,
special purpose access,SCI access,
network and cybersecurity standard,it standard,
culture,microbiology waste,
communication service,utility service,
unused item,DoD property,
DSCA,military operation,
appeal,litigation,
behavior,domestic violence,
alert,directive,
fire,the United States,
the SES member,pertinent material,
boundary protection,DODIN,
baggage transfer,incidental travel expense,
smartphone,mobile device,
negative impact,the request,
executive and withhold aircraft,all DoD OSA aircraft,
information,SPP activity,
embarrassment,harm,
hurricane,a single incident,
award certificate,the require award element,
medium relation,joint operation,
sea,domain,
Reserve,word,
national and international sporting event,special event,
motion picture,vi medium element,
test calculation,the procedure,
typewriter,equipment,
Reserve,active duty,
purchase,any enforceable agreement,
U,quality,
interview,customer,
rail car,delivery mode,
the ICE,all relevant cost estimate,
silencer,weapon component,
decision,lifecycle,
the use,all Service member,
association,any person,
facility,activity,
the development,all incident activity,
frequency,Component guidance,
baseline,the function check,
directory,the agencys information resource,
distribution authority,STRIPES,
increase demand,address climate change impact,
Reserve Component member,all Service member,
the evidentiary record,the investigation,
position,this instruction,
adjudication history,datum,
chemical,the site,
variety show,or amusement,
AT pay,associate cost,
snow emergency,adverse weather condition,
change,guidance,
a designation,condition,
coordination signature level,action,
interest,the borrowing,
administrative appeal,classification,
security cooperation,mission,
faculty,an FAO,
the CM Certification Program,education,
commercial training simulation,when alternative,
tobacco,commissary product,
warrant officer,any active duty Regular or Reserve military officer,
conplan,mef,
anticipate course,threat characterization,
FCC readiness activity,NDMS,
entitlement program,DoD missions,
CBRN protective ensemble,any require IPE,
share land use,issue,
personnel,sufficient resource,
an order,an order,
the IG DoD,ig,
contractor employee,all personnel,
section,authority,
any future modification,final order,
a copy,agreement,
control technology,DoD possession,
datum,intangible property,
social network,stress relief,
all detainee matter,the DoD Detainee Program,
planning update,exist tool,
CYP,DoD activity,
funding level,program,
the adjacent territorial water,Territory,
medical and psychological testing,processing,
mission rehearsal,operation,
development,support,
collection,DITMAC activity,
measure,performance goal,
associate family member,DoD civilian and contractor support employee,
training,annual training,
test event,program activity,
recommendation,garrison health risk,
cracker,external threat,
obscuration equipment,application,
name,information,
DoD installation,federal property,
the United States Coast Guard,mildep,
the intelligence and counterintelligence element,intelligence information,
planning,the live training and test domain,
charity fair,event,
network,IT standard,
litigation,specific legal problem,
the cost,program,
telephone,Telecommunications line,
environmental law,regulation,
enforcement,real property matter,
upper stage,space vehicle operation,
an airlift,demise JOA,
mutilation residue,CCL property,
the promulgation,procedure,
know specific program,support,
fabrication,USSOCOM,
disk pack,any datum,
electronic record,component record,
naturopath,practitioner,
ELOs,one CMT,
Public Key Infrastructure or transport layer security,protective measure,
audiologist,practitioner,
the removal,physical processing,
help,activity,
notification,assistance,
bladder,temporary container,
personnel,security policy matter,
related service,EDIS,
title,this procedure,
service member,deceased personnel,
shareholder,any individual,
military family,that local community,
cough,precaution,
fire,natural catastrophe,
collective bargaining,matter,
political subdivision,a foreign government,
measure,capability,
large number,life,
the use,operation,
guidance,DSCA operation,
network,it standard,
deficiency,audit result,
denial,an administrative decision,
award citation,formal communication,
request,function,
issue,effective fuel capability,
an MTF,cover entity,
hospitalization,or dental care,
the definition,all business system acquisition program,
machine,work function,
force,physical security,
drycleaning,equipment,
a spill,event,
the CSC,activity,
GFP,the contract,
civil disturbance operation,law enforcement activity,
snap requirement,DoD Component ERA and BRAC account programming,
plan,product,
unauthorized access,information,
equipment,item accountability,
the exchange,Online communication,
vocational training,goal,
the transfer,mission objective,
certificate,the DoD ECA program,
which system,the CBRN mcr,
standardization,related service,
file size,the asset,
DoD 6025,and applicable regulation,
a neighborhood,natural boundary,
the identity,the statement,
any fraction,petroleum,
housing,military facility,
elevator,fix equipment,
research,resource materiel,
power plant,auxiliary building,
dedicated truck route,multiple air and surface mode,
correspondence,surveillance documentation,
performance base logistic,original equipment manufacturer,
exercise,defense,
grading,student,
iron,nonferrous metal,
transmission,function,
version,PDF,
all Military Services,DoD Components,
dinner,meal,
draft,product,
Strategic Plan,source,
aircraft,platform,
membership drive,enterprise,
biometric enable intelligence,identity intelligence capability,
navigation,water system,
emergency,incident,
category,the system,
doctrine,key enabler,
flashlight,individual emergency preparedness,
statute,information,
recommendation,the portfolio program review,
fit,dimensional and functional interchangeability,
suppressor,Accessories,
the Secretary,a period,
training area,a contingency location,
policy governing assignment,international cooperation,
radar,electronic and allied equipment,
when,all time,
hospital bed,resource,
the name,a PSB,
railway,DoDs infrastructure,
inspection,function,
home visitation program,related social service,
monitoring,proper implementation,
fuel,related technology,
gif,domain,
DASD,the EIC,
EDRS,single functional area assignment,
military,active status,
legal protection,limitation,
acquisition,protection,
the rationale,select remedy,
age,that age range,
transportation and materiel handling cost,security requirement,
job role,fully document requirement,
both medical circumstance,compelling circumstance,
P,Public Law,
personnel,discipline,
readiness,successful operational and mission performance,
evaluation,effectiveness,
an assignment,a prisoner,
authority,disaster,
attrition reserve,the entire system inventory,
navigation,electronic and allied equipment,
any area,incident scene,
depot level datum,appropriate life cycle item management datum,
reference,source,
ESD,stimulus,
phlebotomy,laboratory testing,
pond,manufacturing area,
symptom,the job,
budgeting,the live training and test domain,
electronic record,these record,
system,instructional management system,
the geographic combatant,the appropriate DoD Components,
unspecified minor military,military facility,
basic training,accession program,
the procedure,international agreement,
airlift,DTS infrastructure,
counseling,medical treatment,
name,mark,
insider threat,a threat awareness security briefing,
major change,priority,
harassment,behavior,
emergency medical service,White House function,
use,the warhead design safety feature,
shipping,business transaction,
acquisition,support and C2 function,
support,document service,
this label,hazardous chemical,
photograph,detail,
defense,mission partner,
asset,the wholesale inventory,
pallbearer,honor,
sale,component,
the Federal Vacancies Reform Act,America,
the European Union,security dimension,
critical infrastructure protection,DSCA activity,
manufacturing,facility,
Office,relevant policy directive,
pay,matter,
education,establish uniform professional qualification,
writing,field,
monetary reward,mechanism,
birth,vital event,
complaint,harassment complaint,
initiation,security incident,
the land,NCR,
JR,designation,
biological control,substance,
scope,electronic or write form,
applicable datum standard,the CIP,
protection,service,
the time,response,
all applicable sop,safety requirement,
the dollar amount,the scp,
contingency location,Areas OCONUS,
information,any mean,
National Guard personnel,Reserve Component capability,
waiver authority,requirement,
video,telecommunication product,
the law,international law,
the transformation,the COMSEC and cryptography focal point,
measurement,qualitative or quantitative information,
all section,United States Code,
naval vessel,unit,
representation,the PPBS process,
standard,program,
holiday meal,special occasion,
a description,workload shortfall,
Explosives,MPPEH,
the use,response action,
career progression,reason,
support,activity,
conductive rubber,sparking material,
special event,CDPs,
personal dosimeter,radiological contamination,
asbestos removal,engineering control,
individual,each propose program,
child,the DoD Student Meal Program,
the Secretary,regulation,
security protocol,specification,
warrant,the judicial process,
Comcast,service,
chapter,regulation,
sale,classified item,
train personnel,military funeral honor,
decal,promotional device,
analyst,researcher,
lead azide,explosive,
Telephone Writers,TDDs,
Secretary,vehicle,
the secondary use,physical safeguard,
an estimate,any remain threat,
share use,support,
access,a current national security eligibility,
calibration,reason,
Enterprise Email Security Gateway,all DoD Components,
endanger specie,complex issue,
potential,the material,
relevant cyberspace,standard,
associate risk matrix,narrative,
a breach,Federal agency,
recommendation,official purpose,
U,DoD security cooperation,
natural disaster,increase vulnerability,
development,nuclear weapon stockpile,
adverse action,appropriate action,
network,standard,
isolation,movement,
the White House,Government Agencies,
Service tmr,template,
backhaul,bunker contract ancillary service charge,
increase cost,challenge,
compliance,an allegation,
education,immunization,
model,applicable datum,
dinner,social event,
export authorization,export process,
special operation,force,
crew,the DoD,
invoice,document,
audit procedure,a methodology,
organization,the Combatant Commands,
placard,case,
forensic,service,
the Secretary,period,
field trip,the YS,
fielding,facility,
the National Incident Management System,Preparedness System,
test,instrument,
the partial processing,OUID registry error condition,
training,civil sar function,
non,direct cost,
bidding,grant process,
the allocation,operational support,
equipment,the JTS,
access,all detainee matter,
technical and contract support,and demand management,
certification,a complete nomination file,
subsystem,supply,
case administration,investigation,
large tank,large facility component,
tipping,actual cost,
a facility inspection,a program review,
the National,intelligence and counterintelligence agency,
arrest,civilian law enforcement activity,
case,the appropriate DoD official,
cost,DoD,
manikin,when alternative,
member,Military Service personnel,
engineering,all technical document,
evidence,request action,
funeral service,interment JOA,
special selection board,promotion selection board,
platform service,multiple service layer,
gap analysis,an evolve analysis,
statute,broad authority,
development,requirement,
cartridge,alternate filtration technology,
city,a state,
procedure,area,
who,any patient,
training,program,
communication,contractor,
final disposition,JOA,
advertisement,a political issue,
Military Departments,DoD Components,
training,prevention and response program,
arrangement,military support,
organization,RTF capability,
part,and requirement,
the role,the military justice system,
help,system operation activity,
remain container,the containment system,
U,policy,
poultry,add fat,
major force structure change,lodging program,
use battery,magnesium battery,
equipment,conventional munition,
material,cost index,
the retrieval,issa,
K Monel,sparking metal,
the Arms Export Control Act,regulation,
rotational assignment,experience,
modify hardware,commercial hardware,
alert,simple process action,
process,training aspect,
the National Security Agency,intelligence organization,
member,active duty,
information,facility,
sexual harassment,employment,
completion,vehicle,
AIS integration,SIM capability,
military,advanced marksmanship training,
the preliminary hazard assessment,hra,
an identity database,factor,
prioritization,defense article,
postcard,mail,
valid courier authorization,document,
the NDMS,system,
the propose FEML relief destination,DoD Components,
validation,disability,
risk acceptance document,support documentation,
size,all exist caa permit,
draft,political pursuit,
the commander,time,
navigation lock,waterway,
counterfeit risk mitigation,counterfeit materiel,
storage,or nuclear energy,
control,capability,
user name,user information,
billet authorization datum,the DoD,
coaxial cable,video,
speech,prospective candidate,
tip,compensation,
suicidal ideation,Suicidality,
employee,group,
air datum recorder,Transportation Safety Board modification,
visit,issue,
support,the committee requirement,
retaliation,behavior,
protection,protective service,
technology,the cost estimate,
applicable legal issue,fundamental,
assessment,psychosocial service,
fact,the child,
spanking,slapping,
contracting,project,
the application,individual identification,
support,military operation,
bedding,item,
satellite transponder,shipment tracking device,
the military,DoD,
QS,related service,
ethic law,directive,
the Federal Bureau,enforcement agency,
the COPE or reserve custodian,that MPO,
facility,all site,
prefix,the duty afsc,
DoD,all deceased or miss DoD civilian personnel,
care,federal agency,
the VV,schedule,
design,the laser system life cycle,
the proposal,all relevant information,
stock,microbiology waste,
vulnerability,the system life cycle,
development,strategic mission,
passive RFID,AIT,
engine,component,
training,operational factor,
resource,address climate change impact,
associate DoD,USMEPCOM or DoDMERB personnel,
a workforce,the business associate,
the secondary use,risk,
vehicle,article,
the HIPAA Breach Rule,the Omnibus Final Rule,
HP,disposal,
creation,directory,
those measure,authorize user,
opportunity,workshop,
NSSEs,special event,
computing,topic,
applicable regulation,Federal personnel,
the assessment,contract audit report,
boarding,service,
contractor,DoD,
panograph,employee medical and dental record,
facility,materiel standardization,
the 1978 MARPOL Protocol,convention,
the North Atlantic,DoD,
operational range,the United States,
holiday,worker,
guidance,audit documentation,
risk,challenge,
safety,the system design,
family illness,event,
model,that DoD analytical tool,
the quality,facility,
intergovernmental support agreement,partnership,
office,area,
flight number,the trip,
acquisition,STI service,
letter,shipment,
award,the JROTC program,
script,process component,
the military,Defense,
monitoring,the program,
manufacturing,system,
a partnership,any person,
background,the function check,
requirement,program inception,
episodic television program,government entertainment medium production,
defense acquisition,all IT,
maintenance,production,
cooling,operation,
