,hyponym,hypernym
4087,fraud,misconduct
4088,linear bar code,carrier technology
4089,an annual reevaluation,component recommendation
4090,solid waste,an orc
4091,ESPC,alternative financing vehicle
4092,SEP Managers,EEO Managers
4093,conference,audience
4094,air filter,item
4095,special program requirement,tool
4096,control substance,inventory item
4097,sensor,deploy CDSs
4098,installation instruction,documentation
4099,decal,promotional device
4100,award certificate,the require award element
4101,officer,active duty
4102,operating,capability requirement
4103,DoDDS,time
4104,access,requirement
4105,radar,electronic and allied equipment
4106,removal,method
4107,associate information,space capability
4108,retaliation,behavior
4109,the International Olympics,territory
4110,notification,assistance
4111,chapter,criminal law
4112,how the experience,patient
4113,a reconciliation,indirect rate
4114,the person,the participant
4115,military family,military construction program
4116,passive RFID,AIT
4117,tremolite,mineral silicate
4118,risk acceptance,planning and implementation activity
4119,humanitarian mission,military operation
4120,cyber security,specialty engineering function
4121,credential,a photograph
4122,United States Public Health Service personnel,and DoD healthcare provider
4123,testing,USSOCOM
4124,floor,word
4125,missile warning system,defense
4126,dissemination,intelligence activity
4127,home visitation program,related social service
4128,humanitarian assistance,nontraditional mission
4129,any final year,study
4130,logistic,DoD functional area
4131,standard operating,purpose
4132,large tank,large facility component
4133,bond,negotiable instrument
4134,fast track assignment,initiative
4135,strike,movement
4136,transfer,the proper procedure
4137,property,environment
4138,weakness,the hand
4139,development,technical and analytical assistance
4140,access,record
4141,Foreign Military Sales,organization
4142,program aid,and responsibility
4143,percentage,a number
4144,foreign military,external stakeholder
4145,assignment,Administrative cost
4146,measure,capability
4147,medical support,White House function
4148,information,service record
4149,training,development activity
4150,activity,assignment
4151,overtime,extra cost factor
4152,aggregate datum or sanitize report,safety information
4153,the miss man formation,Flyovers
4154,lease administration,real property matter
4155,fact,the child
4156,the disposition,component
4157,war,requirement
4158,the appropriate security,Defense
4159,UD,CUI misuse
4160,school personnel,family
4161,supercharger,the key point
4162,the quality,each facility
4163,expiration datum,all exist caa permit
4164,personal dosimeter,radiological contamination
4165,interim stop,the Dover Port Mortuary
4166,access road,facility
4167,representation,the PPBE process
4168,account reconciliation,the DFSP
4169,cultivation,illegal drug possession
4170,chapter,applicable law
4171,berm,an impervious containment system
4172,share use,support
4173,contingency location,Areas OCONUS
4174,those hold OCONUS,public event
4175,know specific program,support
4176,budgeting,Combatant Commanders
4177,security protocol,specification
4178,pencil,minor value
4179,DoD,procedure
4180,basing,capacity
4181,joint doctrine,development activity
4182,tag,specialized use
4183,purpose,the CUI Registry
4184,hacker,external threat
4185,employment,student
4186,molding,trade
4187,business,STRIPES
4188,the DoD,the DoD
4189,time,the entire authorize absence
4190,presidential protection,protective service
4191,frequency clearance,training range
4192,the DDLs,instrument
4193,natural disaster,any occurrence
4194,intelligence special,compartmentalization
4195,initiation,ASSIST
4196,case,the appropriate DoD official
4197,technical datum,DoD possession
4198,supply,functional area
4199,guidance,information
4200,database,execution
4201,TA,financial support
4202,the propose executive development plan,submission
4203,who,all deceased or miss DoD civilian personnel
4204,procedure,security measure
4205,local audit,program
4206,equivalent document,the installation map
4207,information,the childs IEP
4208,the identification,the private sector
4209,analysis,appropriate assessment
4210,Department,authorization
4211,a COMCAM Appendix,deliberate plan
4212,require refresher training,employee
4213,the number,unaccompanied quarter
4214,member,SC executive
4215,location and threat information,pertinent information
4216,plating,work function
4217,vendor identification,capability
4218,military,military operation
4219,action,a mitigation plan
4220,the location,each action
4221,step,parent
4222,an advisory audit representative,business partner
4223,a lower ability,personality change
4224,procurement,the laser system life cycle
4225,job role,fully document requirement
4226,funding,the Committee
4227,hydrant,distribution system component
4228,support staff,program
4229,airdrop,tactical transport
4230,the opening,mail
4231,turbocharger,the key point
4232,health,protection
4233,case management,datum
4234,the HIPAA Privacy Rule,the Omnibus Final Rule
4235,Restricted Data,marking
4236,box,a receptacle
4237,reference,authority
4238,prime contractor,the supply chain
4239,backup documentation,receipt
4240,characterization,preparation
4241,primary apo,capacity
4242,certification number,certify pesticide applicator
4243,load shedding,action
4244,iron,nonferrous metal
4245,the accurate and timely reporting,headquarters
4246,personal cellular phone number,personal contact information
4247,pit system,the IT
4248,DoD,all personnel
4249,reviewable se,all se
4250,discovery metadata,datum tagging
4251,calibration,all test result
4252,priority,guidance
4253,the public,the environment
4254,pain,normal functioning
4255,the DoD CFREP,military food service program
4256,the filing,this issuance
4257,sexual assault,behavior
4258,membrane process,alternate filtration technology
4259,bottle,bottle
4260,student personnel service,characteristic
4261,the FBI,the critical asset
4262,initial design,modification program
4263,support,leadership
4264,measure,resource
4265,equipment,article
4266,logo polo shirt,uniform
4267,funding,a lead Military Department
4268,material composition,design drawing
4269,flight number,the trip
4270,certification,a complete nomination file
4271,apprenticeship,training
4272,the number,quarter
4273,contingency,DoD requirement
4274,sale,security assistance activity
4275,health surveillance,DoD
4276,procedure,area
4277,executive order,broad authority
4278,goggle,equipment
4279,child abuse,violent alleged crime
4280,arm control,legal regime
4281,evidence,request action
4282,the U,all Armed Forces
4283,NATO,marking
4284,a facility inspection,a program review
4285,water selection,operation
4286,arrival,NCR JOA
4287,license,all pertinent documentation
4288,pet,service dog
4289,template,requirement
4290,security assistance,activity
4291,documentary,government entertainment medium production
4292,activity,Global Health Security Agenda
4293,small arm,the DoD
4294,a comprehensive audiological,induce PTS
4295,passport,document
4296,simulation,service
4297,access,all detainee matter
4298,a Service,location
4299,review,program event
4300,use,nuclear weapon stockpile
4301,personnel,discipline
4302,assessment,AoA oversight
4303,DEMIL,relate technical area
4304,memorandum,informal document
4305,service,effort
4306,insider threat,requirement
4307,limitation,a personal capacity
4308,this label,hazardous chemical
4309,reprimand,measure
4310,OT,evaluation
4311,laser activity,the CJCS
4312,the FRC,time
4313,linen,specialized logistics service
4314,the name,the supplementary guideline
4315,OCONUS,all deceased or miss DoD civilian personnel
4316,stability operation,challenge
4317,analysis,effect
4318,pectus,dysfunction
4319,campaign,award
4320,single point,supply chain risk
4321,windshield wiper,120 faulty equipment
4322,any provision,an exist obligation
4323,DoD Component cost estimate,all relevant cost estimate
4324,final,administrative matter
4325,hypothermia,hazard
4326,decontamination,contaminated environment
4327,severe psychiatric disorder,mental health condition
4328,the DoD,continuity matter
4329,benefit,the IDES process
4330,electronic warfare,function
4331,the Federally,Defense
4332,policy,the SSP
4333,name,IPMCs
4334,equipment,or contractor resource
4335,expert,pay
4336,TACON,relation
4337,warehousing,the food industry
4338,any safety critical implication,assessment and mitigation strategy
4339,network,standard
4340,the ability,consideration
4341,DoD contractor,all mission partner entity
4342,space,domain
4343,internet blog,public medium
4344,evaluation,installation
4345,detailed guidance,materiel
4346,advanced technology,resource
4347,the development,or nuclear energy
4348,assistance,medical support
4349,system identification,record
4350,the proposal,all relevant information
4351,the process,ground disturbing activity
4352,copper wire,nonferrous metal
4353,TDRL,retired pay
4354,impact,factor
4355,component subsystem,Integrated Retail Terminals
4356,reference,applicable law
4357,home,external source
4358,MWN system,multiple pathway
4359,visitor control,function
4360,Mexico,America
4361,performance improvement,category
4362,title,this procedure
4363,recover chemical warfare material,agent
4364,U,the contiguous United States
4365,Active and Reserve Component military personnel,all DoD personnel
4366,development,espionage
4367,maintenance,category
4368,the potential,factor
4369,procedure,family
4370,muffler,faulty equipment
4371,unit cohesion,combat stress
4372,development,information system
4373,service,all repair
4374,depot repair,supply support
4375,Restricted Data,information
4376,weapon station,facility
4377,preservation,service
4378,subpoena,the judicial process
4379,appropriate step,the Program
4380,the cost,the request space
4381,the miss man formation,aircraft flyover
4382,open house,occasion
4383,permit,the requester accountability
4384,syrinx,Sharps
4385,datum standard,it standard
4386,IMET,dod authority
4387,distribution,the food industry
4388,release,the access issue
4389,overpack container,hazardous waste
4390,ground,and control
4391,rate,career progression
4392,the Secretary,duty
4393,associated list,all applicable technical datum
4394,herbicide,desiccant
4395,disposition,time
4396,land,domain
4397,right bundle branch block,conduction disturbance
4398,treaty,individual citizen
4399,photo,document
4400,update,remote access
4401,operate policy,family
4402,handling,investigative duty
4403,participation,global force management
4404,PSC personnel,all contractor
4405,those member,service member
4406,test method,tool
4407,reference,policy
4408,individual,member or Committee staff
4409,training,Federal personnel
4410,medical response,hazard
4411,timely and effective configuration,the system life cycle
4412,access,generally accept standard
4413,retire service,service member
4414,a reprisal,action
4415,Title 32 National Guard Members,the Armed Forces
4416,planning,oversight
4417,the OPM,an employer
4418,medium relation,joint operation
4419,the quality,facility
4420,control,the warhead design safety feature
4421,the ro,all applicable member
4422,the first opening,DoD postal services
4423,datum,commissary store
4424,munition response action,DoD military munition
4425,the DISN,the JIE
4426,installation management,planning and compliance status
4427,hazardous material,activity
4428,activity,associate program
4429,the reimbursement,DoD CD activity
4430,distribution,activity
4431,the airspace,the designate geographic area
4432,NIEM adoption,information exchange model
4433,the release,the evaluation
4434,lawyer,professional
4435,Secretary,relevant documentation
4436,accounting policy,budgetary and fiscal matter
4437,require data element,commerce
4438,what,program
4439,chain saw,item
4440,emergency,supplemental assistance
4441,copper,nonferrous metal
4442,asset,the wholesale inventory
4443,correspondence file,legislative matter
4444,all marking,the material
4445,wind,natural catastrophe
4446,SCI,method
4447,contractor,military medical treatment
4448,fire break,Grounds maintenance
4449,reimbursement,ceta
4450,eligible member,eligible member
4451,head,GAO representative
4452,gross and net building area,item
4453,hospital housekeeping,specialized logistics service
4454,a record,lens surgery
4455,exist child care facility,delivery system
4456,water,individual emergency preparedness
4457,FN,pay plan
4458,supply chain management,the food industry
4459,disposition,mitigation procedure
4460,a breach,multiple osd or DoD Components
4461,lethality,supportability
4462,exercise,control
4463,any evidence,the report
4464,deploy location,responsibility
4465,Great Power competitor,adversary
4466,prosimian,the order primata
4467,spill response,regulation
4468,EUC,all pertinent documentation
4469,a physical inventory,property asset record
4470,all program,the developmental BMDS
4471,age,that age range
4472,specialized firefighting equipment,the fire base camp
4473,section,authority
4474,magnetic separator,method
4475,outer garment,athletic uniform
4476,special or adapt bus,specialized equipment
4477,type,the file
4478,funding,resource
4479,the OSD Components,component
4480,seal bid,approach
4481,impact,position
4482,DoD,document
4483,combat,all anticipate mission
4484,help,technical assistance service
4485,design,production
4486,recommendation,budgeting
4487,the use,business
4488,the following,statement
4489,confidential counseling,assistance
4490,market research,input
4491,resuscitation,basic care
4492,jewelry,item
4493,the North Atlantic Treaty Organization Status,applicable international agreement
4494,and directive,and directive
4495,CI,department
4496,airlift,DoDs infrastructure
4497,one DD Form,manual transaction
4498,the retention,the United States
4499,suicide,criminal fatality
4500,inventory,shipment
4501,good practice,requirement
4502,receipt,outside activity
4503,a copy,agreement
4504,body,individual warfighter system
4505,waste management decision,contractor
4506,liability,insurance coverage
4507,tie,accessory
4508,office,area
4509,initial network planning frequency allocation,function
4510,CBRNE advisory,emergency response support
4511,mirror,faulty equipment
4512,manufacture,or nuclear energy
4513,DoD support equipment,nuclear weapon system
4514,total,study
4515,emerge requirement,personnel level
4516,the cryptomodule,a physical device
4517,UFC,applicable design criterion
4518,planning,the live training and test domain
4519,prototype,program
4520,write guidance,function
4521,statement,the DoD
4522,solar and geothermal facility,renewable energy resource
4523,employee,the employee
4524,weekend,a month
4525,lease space,the DoD
4526,simulation,that DoD analytical tool
4527,an adopt child,an unmarried child
4528,ipm factor,Pest control strategy
4529,item,United States
4530,classification,Security Program
4531,appropriate criminal action,disciplinary action
4532,alternative,application
4533,office,specific election
4534,operate system,software
4535,water,critical infrastructure
4536,military criminal investigator,numerous customer
4537,the DoD CFREP,all Departments military food service program
4538,the National Agency Check,investigation
4539,child care,an hourly basis
4540,meter postage,stamp paper
4541,network and cybersecurity standard,IT standard
4542,the development,DCIPS matter
4543,the IG DoD,ig
4544,drying,protective measure
4545,government,Property
4546,the use,all Service member
4547,United States Code,United States government document
4548,an analysis,application
4549,exhortation,measure
4550,language immersion,opportunity
4551,arrest,civilian law enforcement activity
4552,posture and deployment plan,defense
4553,resiliency,measure
4554,food,nourishment
4555,personnel,resource
4556,ship,defense mission
4557,data requirement,NGRER
4558,appeal request,relocate exhibit
4559,computing,topic
4560,final disposition,interment JOA
4561,career progression,reason
4562,Federal Emergency Management Agency,agency
4563,testimony,the legislative or oversight process
4564,freight forwarder,all commercial entity
4565,item,donate property
4566,all activity,foreign defense and security establishment
4567,chemical,the site
4568,NSS,IT
4569,communication system,mission
4570,a final accounting,financial and audit datum
4571,recommendation,garrison health risk
4572,curriculum expansion,event
4573,distance,360 radius
4574,SCI,national security information
4575,foreign government,government agency
4576,the Azores,Portugal
4577,golf resale,service
4578,performance,activity
4579,the force expiratory flow,expiratory flow measurement
4580,award nomination,document
4581,wii,TRICARE beneficiary
4582,international armament cooperation,program
4583,a fire evacuation,adverse condition
4584,maintainability,identify system engineering requirement
4585,disposition,mitigation action
4586,audit,the entire procurement and acquisition process
4587,outage,information
4588,the Commander,the Combatant Commanders
4589,certification,program
4590,desk support,system operation activity
4591,contact,employment
4592,ramp,specialized equipment
4593,National Guard personnel,Reserve Component capability
4594,referral management,resource
4595,viton,plastic binder
4596,change,guidance
4597,geographic location,relevant demographic datum
4598,the dry dock,overhaul
4599,datum,Military Department datum call
4600,FF,pay plan
4601,number,suitability
4602,section,regulation
4603,target technology,topic
4604,lateral redistribution,stock
4605,joint education and joint experience criterion,each level
4606,accessory,athletic uniform
4607,Civil Liberties,Compliance
4608,biometric enable intelligence,identity intelligence capability
4609,Navy,the SAPR Program
4610,DoD involvement,DoD assistance
4611,interagency and international partner,audience
4612,FMF,dod authority
4613,component level,a minimum
4614,that process,that information system
4615,bar coding,additional datum
4616,the National Agency Check,appropriate investigation
4617,level,the Program
4618,SR,designation
4619,public repose,NCR JOA
4620,logic bomb,blended threat
4621,bonus,than one monetary award
4622,draft,product
4623,security,mission requirement
4624,access control,the security feature
4625,the transmission,assign function
4626,developmental testing,development
4627,software,medium
4628,a foreign national,a foreign country
4629,radiological dispersal device,material
4630,component,area
4631,ethic law,directive
4632,maintenance,support and C2 function
4633,training exercise,or military activity
4634,round timber,wood
4635,change,the scheduling
4636,DoD SATCOM enterprise,service management requirement
4637,guidance,reference material
4638,any decomposition,the remain
4639,medical screening,health care service
4640,restitution,resultant cost
4641,API,practice
4642,counterfeit risk mitigation,counterfeit materiel
4643,establishment,utilization program
4644,security,operation planning
4645,gang,organized criminal activity
4646,solid waste,facility operation
4647,guidance,oversight
4648,civilian law,dod person
4649,participation,the prisoner confinement file
4650,sale,classified item
4651,saw,facility
4652,the development,service member
4653,navigation lock,waterway
4654,faculty,an FAO
4655,HA,GHE activity
4656,length,work record
4657,the White House,Government Agencies
4658,contractor,person
4659,release,the disclosure
4660,school,initiative
4661,criterion,DDESB issuance
4662,cost saving,AT activity
4663,a running,weight ticket
4664,record,an individual
4665,description,documentation
4666,Raven Rock,the Pentagon Reservation
4667,sc,aids
4668,student organization,student activity
4669,agreement,key enabler
4670,disability,IDES appointment
4671,the use,exist facility
4672,DISN,DODIN
4673,personal medical device,external source
4674,security,the JTS
4675,program or process level metric,chain
4676,extension,enlistment
4677,military aircraft,defense mission
4678,analysis,DC3 activity
4679,support,service
4680,proper working condition,the job
4681,beacon,facility
4682,economist,researcher
4683,PEB,the DES
4684,FBI,agency
4685,EEOC,an Agency
4686,oil spill response capability,the environment
4687,special paint,application
4688,control activity,narrative
4689,the role,military planning
4690,requirement,department
4691,electronic mail,office automation package
4692,DoD civilian employee,DoD personnel
4693,P,Public Law
4694,a point device,method
4695,fuel,asset
4696,who,all personnel
4697,information,classified information
4698,budgeting,function
4699,any safety precaution,the inventory record
4700,the termination,remedy
4701,student,channel
4702,local disaster purpose,civil defense
4703,medical or dependent care,expense
4704,club foot,congenital impairment
4705,schedule,activity
4706,a chronic,a previously diagnose condition
4707,holiday,a month
4708,user generate content,collaborative tool
4709,the development,command operational requirement
4710,financial management,budgetary and fiscal matter
4711,development,service
4712,general terminal area,potential threat area
4713,DoD,contract language
4714,the data point,CFR
4715,hospitalization,or dental care
4716,immunodeficiency,the immune mechanism
4717,DoDI,applicable standard
4718,contingency,the United States
4719,disposal,aircraft
4720,ventilator,resource
4721,biomass,technology
4722,o,end item
4723,plumbing,fix equipment
4724,member,member
4725,configuration change,the software
4726,SNS asset,health and medical materiel cache
4727,issuance,MASINT training
4728,DoDI,regulation
4729,repair,reason
4730,the extended health care option,TRICARE benefit
4731,the system engineering,numerous tool
4732,machinery,personal property
4733,SSC,the CPI effort
4734,special event,CDPs
4735,deduction amount,dollar amount field
4736,CMAN,single functional area assignment
4737,policy change,matter
4738,case,accounting communitys electronic case file
4739,evacuation,rescue operation
4740,exercise,all military operation
4741,transfer motor,all space vehicle component
4742,auction,approach
4743,sexual harassment,employment
4744,removal,the alarm service
4745,concert,social event
4746,munition emergency response specialist,personnel
4747,regulatory approval,the permit
4748,internship,action
4749,the cost,transportation and related cost
4750,intelligence,the DoD
4751,demurrage,bunker contract ancillary service charge
4752,whose border,country
4753,the reason,member service
4754,employer,medical source
4755,DoD installation,federal property
4756,distribution,SLRG meeting
4757,all modification,an article
4758,study,use
4759,Presidential Inaugurations,territory
4760,sewer,utility service
4761,silencer,weapon component
4762,DSCA,military operation
4763,support,national and international sporting event
4764,the remittance,MOs
4765,military reservation,facility
4766,career,resilience
4767,OSD Components,mef
4768,the Center,the Health Sciences
4769,the record,the afrh
4770,propellant,AE
4771,comedy,or amusement
4772,planning,arm control agreement
4773,FL,pay plan
4774,any applicable interpretation,the VASRD
4775,survey,cost
4776,inspection,Administrative cost
4777,distribution,effective fuel capability
4778,materiel,the contract
4779,car,liaison vehicle
4780,transfer,digital form
4781,vehicle,platform
4782,volunteer,civilian MWR activity
4783,the item,time
4784,finding,the conclusion
4785,disconnection,threat activity
4786,common user service,multiple service layer
4787,medical service,critical infrastructure
4788,a determination,service
4789,peacetime operate stock,petroleum product
4790,RIRP,military pay extract file
4791,the national interest,writing
4792,individual,anyone
4793,endanger specie,complex issue
4794,aviation fuel,product
4795,DoD Directives,regulation
4796,military,civilian
4797,share land use,issue
4798,questionnaire,instrument
4799,volume,regulation
4800,deploy area,all location
4801,specific dos authorization,issuance
4802,sustainment,challenge
4803,member,high Government official
4804,the saudi Arabian,Middle East
4805,munition,used military munition
4806,GPS,DoD PNT system
4807,report,product
4808,protection,service
4809,fall building debris,secondary blast effect
4810,any difference,discrepancy
4811,option,the contract
4812,Defense Health Agency,issue
4813,U,Designated Active and Reserve Component military personnel
4814,financial system,the DoD
4815,also the area,item
4816,the physical protection and access requirement,applicable regulation
4817,mental health provider,professional
4818,USERRA education,the RC
4819,dna,medical practice
4820,recommendation,the portfolio program review
4821,renewable,software
4822,user,documentation
4823,fee,fee
4824,if the loss,civilian capability
4825,international agreement,individual citizen
4826,force structure,capacity
4827,shift differential,additive
4828,visa,requirement
4829,information,intelligence
4830,the Government Industry Data Exchange,report system
4831,any future modification,final order
4832,rail,rocket launcher
4833,support,DSCA
4834,glove,equipment
4835,asbestos,or demolition waste
4836,training,violence prevention and response program
4837,community relation,approve PA activity
4838,technical assistance,a country
4839,the Military Departments,DoD
4840,wear,OEH control
4841,equipment,space
4842,residual MC,environmental contamination
4843,special event,YPs
4844,the manufacture,item
4845,stock,microbiology waste
4846,cerebral palsy,cause
4847,performance assessment,additional element
4848,the PKI,time
4849,requirement consolidation,aerospace energy product
4850,the Unified Facilities Criteria Program,and resilience
4851,equipment allowance,capability
4852,joint exercise,all military planning effort
4853,notification,the process
4854,the essential mission,test strategy
4855,prompt reemployment,USERRA
4856,the type,member
4857,a theater posture plan,a posture plan
4858,datum update,digital form
4859,the Military Departments,DoD Components
4860,payment,pay component
4861,collateral,information
4862,no action,substantiate complaint
4863,fire,the facility
4864,trainee,program
4865,who,military medical treatment
4866,flood control,water system
4867,the appointment,the WHINSEC
4868,tlo,one CMT
4869,programming,oversight
4870,nursery school,program
4871,any recommend measure,Industrial Security Program
4872,select special access,service nonsensitive and sensitive position
4873,land combat vehicle,system
4874,medic,medical training
4875,extreme hardship,unusual personal reason
4876,enlist special Government employee,department
4877,partly or completely load flatbed,vehicle
4878,replacement,any reason
4879,supply,area
4880,consideration,nho
4881,military,nafi
4882,separation,activity
4883,reprimand,corrective measure
4884,detailed description,detail
4885,laboratory result,CPS
4886,the name,a PSB
4887,establishment,matter
4888,a conference room,a control area
4889,silicosis,fibrotic lung disease
4890,both government furnish material,Property
4891,AIS integration,SIM capability
4892,custom,the Confidential material
4893,personnel space,establish facility
4894,coordination,process action
4895,cost,Construction and renovation plan
4896,cataloging,management
4897,those member,the corp
4898,the DoD information network infrastructure,the DoD IE
4899,Economy Act transfer,agency
4900,announcement card,item
4901,rifle scope,Accessories
4902,the requirement,eligible NG member
4903,datum input,issue
4904,interim status,appropriate RCRA permit
4905,any cash flow,the period
4906,ESACC,spend material
4907,DoD,agency
4908,corrective action,cleanup
4909,single Institutional Animal Care and Use Committee,task
4910,research and development site,facility
4911,pediatric cardiopulmonary,Emergency health and safety procedure
4912,counterterrorism,operation
4913,public repose,demise JOA
4914,Inspector General,the regularly schedule service site visit
4915,interview,customer
4916,USNORTHCOM,DoD Components
4917,advertising supplement,all commercial advertising
4918,audit procedure,a methodology
4919,mission assurance service,multiple service layer
4920,a tank,the field
4921,the intelligence production center,Defense Intelligence analytic resource
4922,education,mission program
4923,information,force materiel
4924,clinical treatment,appropriate risk management strategy
4925,Reserve Component member,all Service member
4926,the Defense Security Service Academy,external resource
4927,any selective factor,form
4928,social medium,collaborative tool
4929,food,essential resource
4930,dryer,common area
4931,coordination,this instruction
4932,special purpose central fund,instrumentality
4933,motion picture,graphic art
4934,fact,joint force global action
4935,federal vehicle,contracting option
4936,exchange,support facility
4937,III,designation
4938,benefit,DoD missions
4939,beverage,service
4940,counseling,Federal personnel
4941,provisioning,management
4942,DoD Component,learning
4943,climate,challenge
4944,comprehensive strategy development,emerge national security issue
4945,consumer,vapor intrusion
4946,engine,major miss or reclaim component
4947,the requirement,EUA requirement
4948,all applicable sop,safety requirement
4949,DoD,policy
4950,disposal,and realignment
4951,system software,training
4952,compensatory service,FAPE
4953,property administration,contract administration function
4954,railway,DoDs infrastructure
4955,network and cybersecurity standard,it standard
4956,the recruitment,the Combatant Commands
4957,DOT,certification
4958,lift,specialized equipment
4959,TSN CC,all CII
4960,the capability,budgeting process
4961,fee,actual cost
4962,service,FAPE
4963,assessment,use
4964,denial,an administrative decision
4965,age,the prisoner
4966,Joint Worldwide Intelligence,SCI system
4967,blast,initial nuclear weapon effect
4968,a funeral service,JOA
4969,dimension,the asset
4970,the date,discovery
4971,statute,various authority
4972,facility,satcom resource
4973,allowance,cost
4974,airplane,vehicle sale
4975,acquisition,support and C2 function
4976,the Status,office
4977,code security,Electronic system
4978,home,a setting
4979,narrative requirement,NGRER
4980,the definition,all business system acquisition program
4981,funding,FVAP
4982,the FACAT,a comprehensive DoD response
4983,eligible health care,DoD Components
4984,admonition,measure
4985,travel,Student cost
4986,bit rate,the asset
4987,the United,any country
4988,evaluation scope,additional document
4989,dust cloth,item
4990,the Office,the Merit Systems Protection Board
4991,both base,allocate fund
4992,oversight,the DODIN
4993,purification,operation
4994,MNA,site
4995,special practice,safety requirement
4996,military,deceased personnel
4997,appointment,federal employment
4998,asbestosis,fibrotic lung disease
4999,who,an unmarried child
5000,minority report,the NWSSG report
5001,planning,potential solution
5002,shop work,overhaul
5003,overseas contingency,allocate fund
5004,fuel,related technology
5005,chaplain,direct commission
5006,funding,all require resource
5007,silver,critical metal
5008,drawing,product
5009,availability status,segment component
5010,support,activity
5011,a single central database,accounting communitys electronic case file
5012,the number,factor
5013,vendor,the supply chain
5014,rocket,container
5015,parent,group
5016,stage,individual major missile component
5017,a spill,event
5018,community,a setting
5019,troop drawdown,the newspaper
5020,FGI,information
5021,DoD civilian,deceased personnel
5022,any lease facility,DoD jurisdiction
5023,procurement,activity
5024,assignment,medical treatment
5025,information,weapon component
5026,COR trip report,surveillance documentation
5027,the secondary use,physical safeguard
5028,the MOH,the Military Departments
5029,engineer nanomaterial,hazardous chemical
5030,insider threat,request
5031,billing,various purpose
5032,duty,United States
5033,classified data spill,information
5034,require delivery date,factor
5035,lagoon,treatment system
5036,preservative material,protective measure
5037,a description,workload shortfall
5038,proration impact,where rule
5039,the identity,the statement
5040,training,a country
5041,criterion,response
5042,monitoring,publisher premise
5043,infrastructure management,and management oversight
5044,quality assurance,logistic action
5045,bulk collection,operation
5046,personal hygiene,topic
5047,box number,the request record
5048,a rigorous system,MCSC
5049,assistance,request
5050,the waste type,information
5051,outreach program,the DoD
5052,MM,information system
5053,notification,pesticide exposure
5054,table tent,promotional device
5055,social network,stress relief
5056,loss,discrepancy
5057,the final scoring report,project documentation
5058,coaxial cable,video
5059,black powder,sensitive explosive
5060,transmission and information system,SCI
5061,the standard synopsis and witness statement,initial MOH recommendation
5062,type,action
5063,the wholesale asset position,discrepant materiel
5064,architecture,the DoD
5065,Medicaid,Federal benefit
5066,repair,all source
5067,birth,vital event
5068,Air Force,the SELRES
5069,oversight,ntv
5070,increase cost,challenge
5071,need,a culturally diverse population
5072,cover contractor personnel,deceased personnel
5073,first responder,partner agency
5074,officer,the facility
5075,radon,dangerous substance
5076,release,the organization
5077,tolerance,a critical feature
5078,federal agency,outside entity
5079,a funeral service,demise JOA
5080,update,ASSIST
5081,any effect,DSCA
5082,insignia,athletic uniform
5083,support,capability requirement
5084,procedure,this section
5085,preventive care,health service
5086,horn,faulty equipment
5087,the Defense Transportation Coordi,DoD program
5088,the occurrence,performance
5089,orthopedic implant,distribute product
5090,enforcement,real property matter
5091,initial support,retail stock
5092,subcontractor,agency
5093,lesson,laboratory mishap
5094,space,those service
5095,the OSD,time
5096,writing,field
5097,an agency,a foreign government
5098,support,matter
5099,individual,each propose program
5100,method,technical order
5101,contamination,contamination
5102,research,resource materiel
5103,quantity,specific fuel delivery information
5104,agreement,security assistance activity
5105,equipment,related information resource
5106,change request,personnel level
5107,action plan,that EEO and diversity program activity
5108,two control material,each molecular amplification procedure
5109,helium,special gas
5110,sea,domain
5111,cascade MAAs,write MAAs
5112,complex catastrophe,disaster
5113,U,state aircraft
5114,bilge slop,any oil content
5115,breast,chest wall surgery
5116,special handling requirement,IS
5117,all personnel,the public
5118,associate family member,DoD civilian and contractor support employee
5119,price,material master datum
5120,EMP,initial nuclear weapon effect
5121,the use,groundwater contamination
5122,personnel,Federal Government resource
5123,training,program
5124,an inspection,time
5125,the IOSS,external resource
5126,utility trailer,item
5127,website,channel
5128,performance base logistic,original equipment manufacturer
5129,associate cadet,opportunity
5130,procedure,approval
5131,hospital bed,resource
5132,onion,seven fresh topping
5133,prefix,the duty afsc
5134,the transfer,mission objective
5135,additional remain,conflict
5136,chapter,regulation
5137,associated staffing,energy commodity
5138,the example,privacy risk
5139,funding,program definition
5140,PPBE,CTOC activity
5141,computing,all DISN capability
5142,document destroyer,purpose
5143,participation,DoD
5144,an overview,CAP representative
5145,development,a systematic investigation
5146,opportunity,workshop
5147,the authority,law and Executive order
5148,local school,group
5149,benefit,cost
5150,cloud computing platform,commercial hardware
5151,selection,procedure
5152,cadet,active duty military personnel
5153,guideline,skill
5154,unit morale,combat stress
5155,monitoring,pollutant
5156,quality surveillance,effective fuel capability
5157,public land,the United States
5158,the National Security Council,agency
5159,meat,add fat
5160,facility,WFS appropriation
5161,grass,naturally occur fuel
5162,the DNI,the OGA head
5163,technology security,regulation
5164,budget,FVAP
5165,camping,Outdoor Recreation Programs
5166,the production,STRIPES
5167,human resource,activity
5168,family,time
5169,the Privacy Act,and DoD policy
5170,date,Treatment method
5171,recreation,youth
5172,dialogue,program
5173,transportation,all materiel management cost
5174,the provision,any covered waste
5175,state and local government,outside entity
5176,maintenance,cost
5177,violence,coercive technique
5178,procedure,guideline
5179,nongraduate,low priority
5180,administrative structure,characteristic
5181,crew protection kit,this table
5182,endorsement,investigator
